met_id,met_name,n
cpd00108,Galactose,734
cpd00117,D-Alanine,734
cpd00118,Putrescine,734
cpd00119,L-Histidine,734
cpd00121,L-Inositol,734
cpd00122,N-Acetyl-D-glucosamine,734
cpd00129,L-Proline,734
cpd00130,L-Malate,734
cpd00132,L-Asparagine,734
cpd00136,4-Hydroxybenzoate,734
cpd00137,Citrate,734
cpd00138,D-Mannose,734
cpd00139,Glycolate,734
cpd00141,Propionate,734
cpd00149,Co2+,734
cpd00150,HCN,734
cpd00152,Agmatine,734
cpd00153,Benzoate,734
cpd00154,Xylose,734
cpd00156,L-Valine,734
cpd00158,CELB,734
cpd00159,L-Lactate,734
cpd00161,L-Threonine,734
cpd00164,Glucuronate,734
cpd00178,Acetone,734
cpd00179,Maltose,734
cpd00182,Adenosine,734
cpd00184,Thymidine,734
cpd00185,D-Arabinose,734
cpd00204,CO,734
cpd00205,K+,734
cpd00208,LACT,734
cpd00209,Nitrate,734
cpd00210,Taurine,734
cpd00211,Butyrate,734
cpd00220,Riboflavin,734
cpd00221,D-Lactate,734
cpd00222,GLCN,734
cpd00224,L-Arabinose,734
cpd00232,Neu5Ac,734
cpd00239,H2S,734
cpd00244,Ni2+,734
cpd00246,Inosine,734
cpd00254,Mg,734
cpd00264,Spermidine,734
cpd00266,Carnitine,734
cpd00268,H2S2O3,734
cpd00276,GLUM,734
cpd00277,Deoxyguanosine,734
cpd00280,D-Galacturonate,734
cpd00281,GABA,734
cpd00305,Thiamin,734
cpd00306,Xylitol,734
cpd00309,XAN,734
cpd00311,Guanosine,734
cpd00314,D-Mannitol,734
cpd00322,L-Isoleucine,734
cpd00359,indol,734
cpd00363,Ethanol,734
cpd00366,Ribitol,734
cpd00367,Cytidine,734
cpd00371,Propanal,734
cpd00380,Itaconate,734
cpd00396,L-Rhamnose,734
cpd00418,NO,734
cpd00448,D-Glyceraldehyde,734
cpd00450,Methyl sulfide,734
cpd00453,"1,2-Propanediol",734
cpd00489,4-Hydroxyphenylacetate,734
cpd00528,N2,734
cpd00531,Hg2+,734
cpd00540,BET,734
cpd00550,D-Serine,734
cpd00573,L-Idonate,734
cpd00588,Sorbitol,734
cpd00609,D-Glucarate,734
cpd00644,PAN,734
cpd00653,D-Galactonate,734
cpd00659,Nitrous oxide,734
cpd00751,L-Fucose,734
cpd00794,TRHL,734
cpd00811,(CH3)3NO,734
cpd00832,N-Acetyl-D-chondrosamine,734
cpd00971,Na+,734
cpd01012,Cd2+,734
cpd01024,Methane,734
cpd01217,Xanthosine,734
cpd01399,Maltotetraose,734
cpd01618,"1,3-Propanediol",734
cpd01861,"(R)-1,2-Propanediol",734
cpd01981,5-Methylthio-D-ribose,734
cpd02733,Deoxycholate,734
cpd03198,Melibiose,734
cpd03424,Vitamin B12,734
cpd03662,n-Butanol,734
cpd04098,Arsenite,734
cpd08021,DMSO,734
cpd10515,Fe2+,734
cpd10516,fe3,734
cpd11451,mql7,734
cpd11574,Molybdate,734
cpd11606,Menaquinone 7,734
cpd11632,hn,734
cpd11640,H2,734
cpd11976,Maltodextrin,734
cpd15494,Maltoheptaose,734
cpd17026,methymenaquinol 7,734
cpd17027,methylmenaquinone 7,734
