met_name,n,reaction,ec_number,ID,common_name,names,spontaneous,systematic_name,pathway
AMP,2,ASPARTATE--TRNA-LIGASE-RXN,EC-6.1.1.23 // EC-6.1.1.12,ASPARTATE--TRNA-LIGASE-RXN,NA,NA,NA,NA,TRNA-CHARGING-PWY
AMP,2,RXN-13056,EC-6.3.2.39,RXN-13056,NA,NA,NA,NA,AEROBACTINSYN-PWY
AMP,2,RXN-11739,NA,RXN-11739,NA,NA,NA,NA,RXN-19845 // PWY-6640
AMP,2,RXN-7904,EC-6.2.1.3,RXN-7904,NA,NA,NA,NA,PWY-7033 // PWY-6803 // PWY-5885 // PWY-6873 // PWY-5143
AMP,2,"NAD-SYNTH-GLN-RXN",EC-6.3.5.1,"NAD-SYNTH-GLN-RXN",NA,NA,NA,NA,PWY-8277 // PWY-5381 // PWY-7761 // PYRIDNUCSAL-PWY // PWY-5653 // PWY3O-4107 // PYRIDNUCSYN-PWY
AMP,2,AMINOBENZCOALIG-RXN,EC-6.2.1.32,AMINOBENZCOALIG-RXN,NA,NA,NA,NA,PWY-6660 // PWY-6661 // PWY-7407 // PWY-7405 // PWY-6077 // 2AMINOBENZDEG-PWY
AMP,2,TYROSINE--TRNA-LIGASE-RXN,EC-6.1.1.1,TYROSINE--TRNA-LIGASE-RXN,NA,NA,NA,NA,TRNA-CHARGING-PWY
AMP,2,RXN-16402,EC-6.2.1.3,RXN-16402,NA,NA,NA,NA,PWY-6733
AMP,2,ASPARAGINE--TRNA-LIGASE-RXN,EC-6.1.1.22,ASPARAGINE--TRNA-LIGASE-RXN,NA,NA,NA,NA,TRNA-CHARGING-PWY
AMP,2,RXN-12184,EC-6.2.1.2 // EC-6.2.1.3,RXN-12184,NA,butanoate:CoA ligase (AMP-forming),NA,butanoate:CoA ligase (AMP-forming),PWY-6733
AMP,2,RXN-13141,EC-4.2.1.136,RXN-13141,NA,NA,NA,NA,PWY-8136
AMP,2,RXN-10,EC-6.3.4.5,RXN-10,NA,NA,NA,NA,PWY-5
AMP,2,O-SUCCINYLBENZOATE-COA-LIG-RXN,EC-6.2.1.26,O-SUCCINYLBENZOATE-COA-LIG-RXN,NA,NA,NA,NA,PWY-5837
AMP,2,PROPIONATE--COA-LIGASE-RXN,EC-6.2.1.17,PROPIONATE--COA-LIGASE-RXN,NA,NA,NA,NA,PWY-5747 // PWY-5104 // PWY0-42 // PWY-3941
AMP,2,RXN-11012,NA,RXN-11012,NA,NA,NA,NA,PWY-6379
AMP,2,RXN-684,EC-6.3.2,RXN-684,NA,NA,NA,NA,PWY-761
AMP,2,GMP-SYN-GLUT-RXN,EC-6.3.5.2,GMP-SYN-GLUT-RXN,NA,NA,NA,NA,PWY-7221
AMP,2,RXN-13054,EC-6.3.2.38,RXN-13054,NA,NA,NA,NA,AEROBACTINSYN-PWY
AMP,2,RXN-11009,EC-6.3.2,RXN-11009,NA,NA,NA,NA,PWY-6378
AMP,2,RXN-16380,EC-6.2.1.3,RXN-16380,NA,NA,NA,NA,PWY-8280 // PWY-5989
AMP,2,RXN1G-121,EC-6.3.1.13,RXN1G-121,NA,NA,NA,NA,PWY1G-0
AMP,2,PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN,EC-2.7.9.1,PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN,NA,NA,NA,NA,PWY-6549 // PWY-7117 // PWY-7115 // PWY-241
AMP,2,RXN-19517,EC-6.3.2,RXN-19517,NA,NA,NA,NA,PWY-7989
AMP,2,ADENYL-KIN-RXN,EC-2.7.4.3,ADENYL-KIN-RXN,NA,NA,NA,NA,PWY-7219
AMP,2,RXN-18448,EC-6.2.1.1,RXN-18448,NA,NA,NA,NA,PWY-5108 // PWY-7857
AMP,2,GLYCINE--TRNA-LIGASE-RXN,EC-6.1.1.14,GLYCINE--TRNA-LIGASE-RXN,NA,NA,NA,NA,TRNA-CHARGING-PWY
AMP,2,ARGSUCCINSYN-RXN,EC-6.3.4.5,ARGSUCCINSYN-RXN,NA,NA,NA,NA,PWY-7400 // ARGSYN-PWY // PWY-5154 // ARGSYNBSUB-PWY // PWY-4984 // PWY-4983
AMP,2,RXN-16389,EC-6.2.1.3,RXN-16389,NA,NA,NA,NA,PWY-1121 // PWY-321 // PWY-6733
AMP,2,RXN-15714,EC-6.2.1,RXN-15714,5-aminolevulinyl-CoA synthase,5-aminolevulinyl-CoA synthase,NA,NA,PWY-7536
AMP,2,PHENOLPHOS-RXN,NA,PHENOLPHOS-RXN,phenol kinase,phenol kinase,NA,NA,PHENOLDEG-PWY
AMP,2,ASNSYNB-RXN,EC-6.3.5.4,ASNSYNB-RXN,NA,NA,NA,NA,ASPARAGINE-BIOSYNTHESIS
AMP,2,RXN66-469,EC-6.2.1.3,RXN66-469,3-methyl-branched fatty acyl-CoA ligase,3-methyl-branched fatty acyl-CoA ligase,NA,NA,PWY66-387
AMP,2,RXN-20651,EC-6.2.1.3,RXN-20651,NA,NA,NA,NA,PWY-7119
AMP,2,R223-RXN,EC-6.2.1.2 // EC-6.2.1.3,R223-RXN,octanoyl-CoA ligase,octanoyl-CoA ligase,NA,NA,PWY-6920 // P221-PWY
AMP,2,RXN-11338,EC-6.3.1,RXN-11338,NA,NA,NA,NA,PWY-6461
AMP,2,RXN-18693,EC-2.8.1.13,RXN-18693,NA,NA,NA,NA,PWY-7887
AMP,2,ACETATE--COA-LIGASE-RXN,EC-6.2.1.1,ACETATE--COA-LIGASE-RXN,NA,NA,NA,NA,PWY-8328 // PWY-8303 // PWY-7118 // PWY66-161 // PWY-6672 // PWY0-1313 // PWY66-162 // PWY66-21
AMP,2,ARGININE--TRNA-LIGASE-RXN,EC-6.1.1.19,ARGININE--TRNA-LIGASE-RXN,NA,NA,NA,NA,TRNA-CHARGING-PWY
AMP,2,RXN-21753,EC-6.2.1.17,RXN-21753,NA,NA,NA,NA,PWY-8180
AMP,2,RXN66-483,EC-6.2.1.3,RXN66-483,NA,NA,NA,NA,PWY66-387
AMP,2,ADENPRIBOSYLTRAN-RXN,EC-2.4.2.7,ADENPRIBOSYLTRAN-RXN,NA,NA,NA,NA,PWY-7807 // PWY-7805 // P121-PWY // PWY-6610 // PWY-6605
AMP,2,RXN-18447,EC-6.2.1.1,RXN-18447,NA,NA,NA,NA,PWY-5133
AMP,2,RXN-16821,EC-2.8.1.14,RXN-16821,NA,NA,NA,NA,PWY-7889
AMP,2,RXN-10819,EC-6.2.1.30,RXN-10819,NA,NA,NA,NA,PWY-7716 // PWY-1341 // PWY0-321 // PWY-6318
AMP,2,RXN-16401,EC-6.2.1.3,RXN-16401,NA,NA,NA,NA,PWY-6733
AMP,2,RXN-2001,EC-6.2.1,RXN-2001,NA,NA,NA,NA,PWY-6457
AMP,2,GLUTAMINE--TRNA-LIGASE-RXN,EC-6.1.1.18,GLUTAMINE--TRNA-LIGASE-RXN,NA,NA,NA,NA,TRNA-CHARGING-PWY
AMP,2,RXN-19511,EC-6.3.2,RXN-19511,NA,NA,NA,NA,PWY-7988
AMP,2,LYSINE--TRNA-LIGASE-RXN,EC-6.1.1.6,LYSINE--TRNA-LIGASE-RXN,NA,NA,NA,NA,TRNA-CHARGING-PWY
AMP,2,RXN-16985,NA,RXN-16985,NA,NA,NA,NA,PWY-7706
AMP,2,RXN-9386,EC-6.1.1.24,RXN-9386,NA,NA,NA,NA,PWY-5921
AMP,2,LINOLENOYL-RXN,EC-6.2.1.3,LINOLENOYL-RXN,NA,NA,NA,NA,PWY-7724 // PWY-7049
AMP,2,RXN-19506,EC-6.3.2,RXN-19506,NA,NA,NA,NA,PWY-7988
AMP,2,GTPPYPHOSKIN-RXN,EC-2.7.6.5,GTPPYPHOSKIN-RXN,NA,NA,NA,NA,PPGPPMET-PWY
AMP,2,RXN-11011,EC-6.3.2,RXN-11011,NA,NA,NA,NA,PWY-6379
AMP,2,RXN-20141,EC-6.2.1.M31,RXN-20141,NA,NA,NA,NA,PWY-8029
AMP,2,RXN-13614,EC-6.2.1.2 // EC-6.2.1.3,RXN-13614,NA,NA,NA,NA,PWY-7094
AMP,2,RXN-11008,EC-6.3.2,RXN-11008,NA,NA,NA,NA,PWY-6378
AMP,2,THREONINE--TRNA-LIGASE-RXN,EC-6.1.1.3,THREONINE--TRNA-LIGASE-RXN,NA,NA,NA,NA,TRNA-CHARGING-PWY
AMP,2,RXN-9834,NA,RXN-9834,NA,NA,NA,NA,PWY-6080
AMP,2,AMPSYN-RXN,EC-4.3.2.2,AMPSYN-RXN,NA,NA,NA,NA,PWY-7219
AMP,2,UBIQUITIN--PROTEIN-LIGASE-RXN,EC-6.2.1.45,UBIQUITIN--PROTEIN-LIGASE-RXN,NA,NA,NA,NA,PWY-7511
AMP,2,RXN66-477,EC-6.2.1.3,RXN66-477,straight chain fatty acyl-CoA ligase,straight chain fatty acyl-CoA ligase,NA,NA,PWY66-388
AMP,2,RXN-18544,NA,RXN-18544,NA,NA,NA,NA,PWY-7741 // RXN-18545
AMP,2,RXN-19080,NA,RXN-19080,NA,NA,NA,NA,PWY-7930 // RXN-19065
AMP,2,RXN-19434,NA,RXN-19434,NA,NA,NA,NA,RXN-19440 // PWY-7983
AMP,2,RXN-21111,NA,RXN-21111,NA,NA,NA,NA,PWY-8117 // RXN-21147
AMP,2,RXN-9788,EC-2.8.1,RXN-9788,NA,NA,NA,NA,PWY-6892
AMP,2,RXN0-2161,EC-6.1.1.11,RXN0-2161,NA,NA,NA,NA,PWY-6281 // PWY0-901
AMP,2,RXN-13867,NA,RXN-13867,3-amino-4-hydroxybenzaldehyde synthase,3-amino-4-hydroxybenzaldehyde synthase,NA,NA,PWY-7153
AMP,2,RXN-17193,EC-2.3.1,RXN-17193,NA,NA,NA,NA,PWY-6322
AMP,2,2.7.9.3-RXN,EC-2.7.9.3,2.7.9.3-RXN,NA,NA,NA,NA,PWY-6281 // PWY0-901
AMP,2,RXN-12746,EC-6.2.1.41,RXN-12746,NA,NA,NA,NA,PWY-8152 // PWY-6944
AMP,2,RXN-15733,EC-2.7.6.3,RXN-15733,NA,NA,NA,NA,PWY-6148
AMP,2,RXN-21118,NA,RXN-21118,NA,NA,NA,NA,PWY-8117 // RXN-21149
AMP,2,RXN-11125,NA,RXN-11125,NA,NA,NA,NA,PWY-6408 // RXN-19465
AMP,2,RXN-18014,EC-6.2.1.54,RXN-18014,NA,NA,NA,NA,PWY-8040 // PWY-8343 // PWY-7817 // PWY-7818 // PWY-7815 // PWY-7816 // TEICHOICACID-PWY
AMP,2,RXN-12473,EC-2.8.1.11,RXN-12473,NA,NA,NA,NA,PWY-6823
AMP,2,RXN-12621,NA,RXN-12621,NA,NA,NA,NA,PWY-6891 // RXN-20037
AMP,2,PEPSYNTH-RXN,EC-2.7.9.2,PEPSYNTH-RXN,NA,NA,NA,NA,GLYCOLYSIS // PWY-5484 // P341-PWY // PWY-6142 // GLUCONEO-PWY
AMP,2,TRYPTOPHAN--TRNA-LIGASE-RXN,EC-6.1.1.2,TRYPTOPHAN--TRNA-LIGASE-RXN,NA,NA,NA,NA,TRNA-CHARGING-PWY
AMP,2,RXN-9833,NA,RXN-9833,NA,NA,NA,NA,PWY-6080
AMP,2,LEUCINE--TRNA-LIGASE-RXN,EC-6.1.1.4,LEUCINE--TRNA-LIGASE-RXN,NA,NA,NA,NA,TRNA-CHARGING-PWY
AMP,2,RXN-18536,NA,RXN-18536,NA,NA,NA,NA,PWY-7742 // RXN-18537
AMP,2,RXN-8655,NA,RXN-8655,NA,NA,NA,NA,RXN-17127 // PWY0-522
AMP,2,RXN-19069,EC-6.2.1.53,RXN-19069,NA,NA,NA,NA,PWY-7931
AMP,2,ACYLCOASYN-RXN,EC-6.2.1,ACYLCOASYN-RXN,"2,3,4-saturated fatty acyl-CoA synthetase","2,3,4-saturated fatty acyl-CoA synthetase // Acyl-activating enzyme // Fatty acid thiokinase (long-chain)",NA,NA,PWY-7288 // PWY66-391 // PWY-5136 // FAO-PWY
AMP,2,RXN-16468,EC-6.2.1.47,RXN-16468,NA,NA,NA,NA,PWY-7641
AMP,2,RXN-8348,EC-2.10.1.1,RXN-8348,NA,NA,NA,NA,PWY-8171
AMP,2,BIOTINLIG-RXN,EC-6.3.4.15,BIOTINLIG-RXN,NA,NA,NA,NA,PWY0-1264
AMP,2,SERINE--TRNA-LIGASE-RXN,EC-6.1.1.11,SERINE--TRNA-LIGASE-RXN,NA,NA,NA,NA,TRNA-CHARGING-PWY
AMP,2,RXN-16906,EC-6.2.1.72,RXN-16906,NA,NA,NA,NA,PWY-7693 // PWY-7694
AMP,2,RXN-18446,EC-6.2.1.1,RXN-18446,NA,NA,NA,NA,PWY-5132
AMP,2,RXN-21106,NA,RXN-21106,NA,NA,NA,NA,PWY-8117 // RXN-21145
AMP,2,RXN-18877,NA,RXN-18877,NA,NA,NA,NA,1.13.12.7-RXN // PWY-7913
AMP,2,CYSTEINE--TRNA-LIGASE-RXN,EC-6.1.1.16,CYSTEINE--TRNA-LIGASE-RXN,NA,NA,NA,NA,TRNA-CHARGING-PWY
AMP,2,RXN-15914,EC-2.7.6,RXN-15914,NA,NA,NA,NA,PWY-7564
AMP,2,RXN-11126,EC-6.3.2,RXN-11126,NA,NA,NA,NA,PWY-6409
AMP,2,RXN-16726,EC-6.2.1.66,RXN-16726,NA,NA,NA,NA,PWY-7671
AMP,2,GDPPYPHOSKIN-RXN,EC-2.7.6.5,GDPPYPHOSKIN-RXN,NA,NA,NA,NA,PPGPPMET-PWY
AMP,2,RXN-10998,EC-6.3.3,RXN-10998,NA,NA,NA,NA,PWY-6375
AMP,2,RXN-13268,EC-6.2.1.20,RXN-13268,NA,NA,NA,NA,PWY-6622
AMP,2,RXN-19454,NA,RXN-19454,NA,NA,NA,NA,PWY-7984 // RXN-19453
AMP,2,RXN-17973,EC-6.3.5.M2,RXN-17973,NA,NA,NA,NA,PWY-7811
AMP,2,PRPPSYN-RXN,EC-2.7.6.1,PRPPSYN-RXN,NA,NA,NA,NA,PWY0-662
AMP,2,R281-RXN,EC-6.2.1,R281-RXN,NA,NA,NA,NA,PWY-301
AMP,2,CITC-RXN,EC-6.2.1.22,CITC-RXN,NA,NA,NA,NA,P2-PWY
AMP,2,ALANINE--TRNA-LIGASE-RXN,EC-6.1.1.7,ALANINE--TRNA-LIGASE-RXN,NA,NA,NA,NA,TRNA-CHARGING-PWY
AMP,2,RXN0-6727,EC-4.2.1.136,RXN0-6727,NA,NA,NA,NA,PWY-6938-1
AMP,2,HISTIDINE--TRNA-LIGASE-RXN,EC-6.1.1.21,HISTIDINE--TRNA-LIGASE-RXN,NA,NA,NA,NA,TRNA-CHARGING-PWY
AMP,2,RXN0-2023,EC-2.8.1.13,RXN0-2023,NA,NA,NA,NA,PWY-7892
AMP,2,325-BISPHOSPHATE-NUCLEOTIDASE-RXN,EC-3.1.3.7,325-BISPHOSPHATE-NUCLEOTIDASE-RXN,NA,NA,NA,NA,NA
AMP,2,RXN-15242,NA,RXN-15242,NA,NA,NA,NA,PWY-7441
AMP,2,RXN-14570,EC-2.3.1.234,RXN-14570,NA,NA,NA,NA,PWY0-1587
AMP,2,RXN-17146,EC-6.2.1.73,RXN-17146,NA,NA,NA,NA,PWY-7525 // PWY-8345 // PWY-7733 // PWY-7734
AMP,2,RXN-17195,EC-2.3.1,RXN-17195,NA,NA,NA,NA,PWY-7769
AMP,2,RXN-21117,NA,RXN-21117,NA,NA,NA,NA,PWY-8117 // RXN-21148
AMP,2,H2PTERIDINEPYROPHOSPHOKIN-RXN,EC-2.7.6.3,H2PTERIDINEPYROPHOSPHOKIN-RXN,NA,NA,NA,NA,PWY-7853 // PWY-7852 // PWY-7539 // PWY-6147 // PWY-6797
AMP,2,RXN-21395,EC-6.2.1.47,RXN-21395,NA,NA,NA,NA,PWY-8141
AMP,2,RXN0-5098,EC-6.3.1.20,RXN0-5098,NA,NA,NA,NA,PWY0-1275
AMP,2,"NAD-SYNTH-NH3-RXN",EC-6.3.1.5,"NAD-SYNTH-NH3-RXN",NA,NA,NA,NA,PWY-8277 // PWY-7761 // PYRIDNUCSAL-PWY // PYRIDNUCSYN-PWY
AMP,2,RXN-15779,EC-6.2.1.53,RXN-15779,NA,NA,NA,NA,PWY-7547
AMP,2,RXN66-480,EC-6.2.1.3,RXN66-480,phytenoyl-CoA synthetase,phytenoyl-CoA synthetase,NA,NA,PWY66-389
AMP,2,RXN-9623,EC-6.2.1.3,RXN-9623,NA,NA,NA,NA,PWY-8279 // PWY-5972 // PWY3DJ-11470 // PWY-7119 // PWY-5971
AMP,2,RXN-11105,EC-2.3.1,RXN-11105,NA,NA,NA,NA,PWY-6407
AMP,2,DIPHTINE--AMMONIA-LIGASE-RXN,EC-6.3.1.14,DIPHTINE--AMMONIA-LIGASE-RXN,NA,NA,NA,NA,PWY-6482 // PWY-7546
AMP,2,RXN-16905,NA,RXN-16905,NA,NA,NA,NA,PWY-8117 // PWY-7987 // RXN-16906
AMP,2,RXN-16987,EC-2.3.1,RXN-16987,NA,NA,NA,NA,PWY-7706
AMP,2,RXN-9644,EC-6.2.1.3,RXN-9644,NA,NA,NA,NA,PWY0-1337 // PWY-5147 // PWY-6001
AMP,2,RXN-21105,NA,RXN-21105,NA,NA,NA,NA,PWY-8117 // RXN-21146
AMP,2,ASNSYNA-RXN,EC-6.3.1.1,ASNSYNA-RXN,NA,NA,NA,NA,ASPARAGINESYN-PWY
AMP,2,AMP-NUCLEOSID-RXN,EC-3.2.2.4,AMP-NUCLEOSID-RXN,NA,NA,NA,NA,PWY-6617
AMP,2,RXN-19751,EC-6.2.1.3,RXN-19751,NA,NA,NA,NA,PWY3DJ-11470
AMP,2,RXN-16165,EC-6.1.1.10,RXN-16165,NA,NA,NA,NA,TRNA-CHARGING-PWY
Deoxycytidine,2,NA,NA,NA,NA,NA,NA,NA,NA
Glycochenodeoxycholate,2,NA,NA,NA,NA,NA,NA,NA,NA
Glycocholate,2,NA,NA,NA,NA,NA,NA,NA,NA
Taurochenodeoxycholate,2,NA,NA,NA,NA,NA,NA,NA,NA
Taurocholate,2,NA,NA,NA,NA,NA,NA,NA,NA
UMP,4,PHOSNACMURPENTATRANS-RXN,EC-2.7.8.13,PHOSNACMURPENTATRANS-RXN,"UDP-<i>N</i>-acetylmuramoyl-L-alanyl-D-glutamyl-<I>meso</I>-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase","UDP-<i>N</i>-acetylmuramoyl-L-alanyl-D-glutamyl-<I>meso</I>-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase",NA,NA,PEPTIDOGLYCANSYN-PWY
UMP,4,GLCNACPTRANS-RXN,EC-2.7.8.33,GLCNACPTRANS-RXN,NA,NA,NA,NA,PWY2DNV-5 // PWY-8272 // PWY-8257 // PWY-8253 // PWY-8252 // PWY-8251 // PWY-8250 // PWY-8244 // PWY-8205 // PWY-8217 // PWY-8224 // PWY-8242 // PWY-8241 // PWY-8237 // PWY-8236 // PWY-8235 // PWY-8234 // PWY-8232 // PWY-8233 // PWY-8231 // PWY-7290 // PWY-8230 // ECASYN-PWY // PWY-8226 // PWY-8222 // PWY-8221 // PWY-8220 // PWY-8219 // PWY-8218 // PWY-8212 // PWY-7905 // PWY-8211 // PWY-7530 // PWY-8209 // PWY-8208 // PWY-8207 // PWY-8206 // PWY-8204 // PWY-7819 // PWY-7815 // PWY-7816 // TEICHOICACID-PWY
UMP,4,OROTPDECARB-RXN,EC-4.1.1.23,OROTPDECARB-RXN,NA,NA,NA,NA,PWY-7790 // PWY-7791 // PWY-5686
UMP,4,2.7.8.6-RXN,EC-2.7.8.6,2.7.8.6-RXN,NA,NA,NA,NA,PWY-8192 // PWY-8133 // PWY-8228 // PWY-8196 // PWY-8199 // PWY-8197 // PWY-8195 // PWY-8193 // PWY-8198
UMP,4,URIDINEKIN-RXN,EC-2.7.1.48,URIDINEKIN-RXN,NA,NA,NA,NA,PWY-7193
UMP,4,RXN-12199,EC-3.6.1.5,RXN-12199,NA,ATP diphosphohydrolase (phosphate-forming),NA,ATP diphosphohydrolase (phosphate-forming),PWY-7177
UMP,4,2.7.8.15-RXN,EC-2.7.8.15,2.7.8.15-RXN,NA,NA,NA,NA,MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS
UMP,4,RXN-14025,EC-3.1.3.5,RXN-14025,NA,NA,NA,NA,PWY-7185 // PWY-7821
UMP,4,RXN-14139,EC-3.6.1.9,RXN-14139,NA,NA,NA,NA,PWY-7821
UMP,4,RXN-11791,EC-2.7.8.31,RXN-11791,NA,NA,NA,NA,PWY-8243 // PWY-6658 // PWY-6655
UMP,4,URACIL-PRIBOSYLTRANS-RXN,EC-2.4.2.9,URACIL-PRIBOSYLTRANS-RXN,NA,NA,NA,NA,PWY-7183
UMP,4,RXN-12002,EC-2.7.4.22 // EC-2.7.4.14,RXN-12002,NA,NA,NA,NA,PWY-7176
UMP,4,LIPIDXSYNTHESIS-RXN,EC-3.6.1.54,LIPIDXSYNTHESIS-RXN,NA,NA,NA,NA,"NAGLIPASYN-PWY"
UMP,4,RXN-20786,EC-3.6.1.54,RXN-20786,NA,NA,NA,NA,PWY-8073
"NAD",6,RXN-9510,EC-1.5.1.42,RXN-9510,NA,NA,NA,NA,PWY-681 // PWY-7723
"NAD",6,RXN-11478,EC-1.3.1.9,RXN-11478,NA,NA,NA,NA,PWY-6519
"NAD",6,DHBDEHYD-RXN,EC-1.3.1.28,DHBDEHYD-RXN,NA,NA,NA,NA,PWY-5901
"NAD",6,RXN-21672,EC-1.3.1.9,RXN-21672,NA,NA,NA,NA,PWY-8174
"NAD",6,RXN-10911,EC-1.1.1.1,RXN-10911,NA,"3,4-dihydroxyphenylglycol dehydrogenase",NA,NA,PWY-6342
"NAD",6,RXN-9658,EC-1.3.1.9,RXN-9658,<i>trans</i> hex-2-enoyl-[acp]-reductase,<i>trans</i> hex-2-enoyl-[acp]-reductase,NA,NA,PWY1A0-6120 // PWY-5971
"NAD",6,RXN-21760,EC-1.1.1.35,RXN-21760,NA,NA,NA,NA,PWY-8179
"NAD",6,BADH-RXN,EC-1.2.1.8,BADH-RXN,NA,NA,NA,NA,PWY-7494 // PWY1F-353 // CHOLINE-BETAINE-ANA-PWY // PWY-3722 // BETSYN-PWY
"NAD",6,LACTALDREDUCT-RXN,EC-1.1.1.77,LACTALDREDUCT-RXN,NA,NA,NA,NA,PWY0-1315
"NAD",6,RXN-11727,EC-1.1.1.308,RXN-11727,NA,NA,NA,NA,PWY-6634
"NAD",6,RXN1G-37,EC-1.3.1.118,RXN1G-37,trans-delta2-cis-delta7-C26:2-[acyl-carrier protein] reductase,trans-delta2-cis-delta7-C26:2-[acyl-carrier protein] reductase,NA,NA,PWYG-321
"NAD",6,RXN-7572,EC-1.1.1.27,RXN-7572,NA,NA,NA,NA,PWY-5031
"NAD",6,13-PROPANEDIOL-DEHYDROGENASE-RXN,EC-1.1.1.202,13-PROPANEDIOL-DEHYDROGENASE-RXN,NA,NA,NA,NA,PWY-6130
"NAD",6,RXN-3941,EC-1.14.13,RXN-3941,NA,NA,NA,NA,PWY-8087 // PWY-2421
"NAD",6,RXN-9854,EC-1.3.1.119,RXN-9854,NA,NA,NA,NA,PWY-6081
