met_id,met_name,n
cpd00108,Galactose,736
cpd00117,D-Alanine,736
cpd00118,Putrescine,736
cpd00119,L-Histidine,736
cpd00121,L-Inositol,736
cpd00122,N-Acetyl-D-glucosamine,736
cpd00129,L-Proline,736
cpd00130,L-Malate,736
cpd00132,L-Asparagine,736
cpd00136,4-Hydroxybenzoate,736
cpd00137,Citrate,736
cpd00138,D-Mannose,736
cpd00139,Glycolate,736
cpd00141,Propionate,736
cpd00149,Co2+,736
cpd00150,HCN,736
cpd00152,Agmatine,736
cpd00153,Benzoate,736
cpd00154,Xylose,736
cpd00156,L-Valine,736
cpd00158,CELB,736
cpd00159,L-Lactate,736
cpd00161,L-Threonine,736
cpd00164,Glucuronate,736
cpd00178,Acetone,736
cpd00179,Maltose,736
cpd00182,Adenosine,736
cpd00184,Thymidine,736
cpd00185,D-Arabinose,736
cpd00204,CO,736
cpd00205,K+,736
cpd00208,LACT,736
cpd00209,Nitrate,736
cpd00210,Taurine,736
cpd00211,Butyrate,736
cpd00220,Riboflavin,736
cpd00221,D-Lactate,736
cpd00222,GLCN,736
cpd00224,L-Arabinose,736
cpd00232,Neu5Ac,736
cpd00239,H2S,736
cpd00244,Ni2+,736
cpd00246,Inosine,736
cpd00254,Mg,736
cpd00264,Spermidine,736
cpd00266,Carnitine,736
cpd00268,H2S2O3,736
cpd00276,GLUM,736
cpd00277,Deoxyguanosine,736
cpd00280,D-Galacturonate,736
cpd00281,GABA,736
cpd00305,Thiamin,736
cpd00306,Xylitol,736
cpd00309,XAN,736
cpd00311,Guanosine,736
cpd00314,D-Mannitol,736
cpd00322,L-Isoleucine,736
cpd00359,indol,736
cpd00363,Ethanol,736
cpd00366,Ribitol,736
cpd00367,Cytidine,736
cpd00371,Propanal,736
cpd00380,Itaconate,736
cpd00396,L-Rhamnose,736
cpd00418,NO,736
cpd00448,D-Glyceraldehyde,736
cpd00450,Methyl sulfide,736
cpd00453,"1,2-Propanediol",736
cpd00489,4-Hydroxyphenylacetate,736
cpd00528,N2,736
cpd00531,Hg2+,736
cpd00540,BET,736
cpd00550,D-Serine,736
cpd00573,L-Idonate,736
cpd00588,Sorbitol,736
cpd00609,D-Glucarate,736
cpd00644,PAN,736
cpd00653,D-Galactonate,736
cpd00659,Nitrous oxide,736
cpd00751,L-Fucose,736
cpd00794,TRHL,736
cpd00811,(CH3)3NO,736
cpd00832,N-Acetyl-D-chondrosamine,736
cpd00971,Na+,736
cpd01012,Cd2+,736
cpd01024,Methane,736
cpd01217,Xanthosine,736
cpd01399,Maltotetraose,736
cpd01618,"1,3-Propanediol",736
cpd01861,"(R)-1,2-Propanediol",736
cpd01981,5-Methylthio-D-ribose,736
cpd02733,Deoxycholate,736
cpd03198,Melibiose,736
cpd03424,Vitamin B12,736
cpd03662,n-Butanol,736
cpd04098,Arsenite,736
cpd08021,DMSO,736
cpd10515,Fe2+,736
cpd10516,fe3,736
cpd11451,mql7,736
cpd11574,Molybdate,736
cpd11606,Menaquinone 7,736
cpd11632,hn,736
cpd11640,H2,736
cpd11976,Maltodextrin,736
cpd15494,Maltoheptaose,736
cpd17026,methymenaquinol 7,736
cpd17027,methylmenaquinone 7,736
