,length,name
221,589,yejM
222,185,ccmG
223,220,ccmB
224,200,napC
225,216,rcsB
226,883,gyrA
227,761,nrdA
228,376,nrdB
229,556,menD
230,101,elaB
231,509,nuoM
232,613,nuoL
233,100,nuoK
234,184,nuoJ
235,908,nuoG
236,166,nuoE
237,220,nuoB
238,147,nuoA
239,405,alaA
240,610,yfbS
241,216,hxpA
242,151,group_2452
243,183,yfcE
244,257,hisP
245,505,purF
246,422,folC
247,270,truA
248,337,usg
249,331,flk
250,269,yfcA
251,274,mepA_1
252,285,group_1043
253,251,mlaA
254,127,atpI
255,271,atpB
256,79,atpE
257,156,atpF
258,513,atpA
259,108,rnpA
260,46,rpmH
261,366,dnaN
262,150,group_2563
263,345,group_7003
264,386,group_6050
265,175,group_38
266,156,mngA
267,310,mak_2
268,406,gltS
269,207,gmk
270,198,slmA
271,152,dut
272,78,rpmB
273,55,rpmG
274,159,coaD
275,348,waaF
276,398,kbl_2
277,343,tdh
278,514,gpmM
279,282,plaR
280,303,glyQ
281,70,cspA
282,96,yiaG
283,236,group_4621
284,219,yiaD
285,309,kdgK
286,343,metN
287,217,metI
288,572,proS
289,319,accA
290,262,lpxA
291,161,skp
292,450,rseP
293,185,frr
294,241,pyrH
295,241,rpsB
296,264,map
297,274,dapD
298,232,mtn
299,266,btuF_1
300,426,hemL
301,151,dksA
302,457,pcnB
303,220,can
304,254,pdhR
305,206,coaE
306,901,secA
307,305,lpxC
308,276,ftsQ
309,306,ddlB
310,491,murC
311,360,mraY
312,495,murE
313,588,ftsI
314,121,ftsL
315,152,mraZ
316,163,ilvH
317,363,leuB
318,428,surA
319,273,rsmA
320,125,group_5735
321,282,apaH
322,386,carA
323,164,lspA
324,313,ribF
325,87,rpsT
326,388,nhaA
327,188,satP
328,195,mog
329,317,talB
330,428,thrC
331,831,thrA
332,214,ytjB
333,239,deoD
334,259,deoC
335,53,group_6548
336,538,prfC
337,75,group_3950
338,627,group_2258
339,278,dppD_2
340,277,ddpC
341,139,fdhF_2
342,297,alsR
343,57,ghoT
344,565,dsbD
345,112,cutA
346,97,groS
347,551,groL
348,188,efp
349,105,gdx
350,119,frdD
351,244,frdB
352,325,epmA
353,322,psd
354,181,orn
355,153,tsaE
356,102,hfq
357,426,hflX
358,335,hflC_1
359,141,nsrR
360,243,rlmB
361,131,rpsF
362,75,rpsR
363,149,rplI
364,206,fklB
365,126,ytfH
366,68,ytfK
367,113,ytfP
368,500,ytfR
369,183,group_7563
370,128,ridA
371,153,pyrI
372,311,pyrB
373,150,group_2564
374,360,lptG_2
375,646,group_8277
376,178,group_8279
377,422,group_8278
378,150,group_2565
379,88,minE
380,231,minC
381,219,ycgM
382,139,umuD_1
383,203,emtA
384,363,ychF
385,337,prs
386,283,ispE
387,269,ychA
388,117,ychN
389,463,narK
390,225,narI
391,280,purU
392,302,galU
393,137,hns_2
394,215,ychE
395,302,oppC
396,111,group_6756
397,132,yciA
398,247,yciC
399,206,yciO
400,83,yciN
401,196,ribA
402,57,group_6268
403,262,fabI
404,375,acrA_2
405,268,sapF
406,330,sapD
407,296,sapC
408,321,sapB
409,222,pspA
410,74,pspB
411,353,group_6768
412,168,tpx
413,57,group_6269
414,280,rlmJ
415,208,yhhN
416,352,ftsX
417,284,rpoH
418,281,ugpE
419,331,gntR
420,197,yhgN
421,367,asd
422,657,glgX
423,477,glgA
424,191,nfuA
425,75,feoA
426,222,yrfG
427,362,aroB
428,117,group_6251
429,56,group_6395
430,108,nirD
431,696,yhfK
432,210,crp
433,72,group_4698
434,66,group_5580
435,72,slyX
436,270,fkpA
437,240,yheO
438,124,rpsL
439,705,fusA
440,350,mutY
441,239,trmB
442,108,yggL
443,239,group_4311
444,387,pgk
445,359,fbaA
446,410,serA
447,194,group_6799
448,298,xerD
449,577,recJ
450,310,yqeA_1
451,398,ygeX
452,420,lysA
453,343,galR
454,72,group_4696
455,237,group_4497
456,176,rppH
457,443,argA
458,267,suhB
459,246,trmJ
460,162,iscR
461,107,iscA
462,66,iscX
463,143,ndk
464,372,ispG
465,206,yfgM
466,489,guaB
467,525,guaA
468,212,purN
469,353,yfgO
470,192,gcvR
471,237,purC
472,66,group_5581
473,375,dapE
474,299,yfeX
475,263,ucpA
476,338,cysP
477,169,crr
478,85,ptsH
479,253,cysZ
480,671,ligA
481,119,yfeC
482,321,glk
483,107,soxS
484,178,group_8069
485,186,group_7324
486,202,group_6248
487,290,ubiA
488,514,malF
489,309,metA
490,1283,group_274
491,249,group_3358
492,253,umpG
493,107,group_7063
494,244,cysH
495,469,scrB
496,437,eno
497,454,ppnN
498,383,fucO
499,365,mltA
500,89,group_1259
501,210,yihA
502,262,csqR_2
503,145,dtd
504,232,cpxR
505,300,fieF
506,320,pfkA
507,257,tpiA
508,161,rraA
509,308,menA
510,443,hslU
511,176,hslV
512,70,rpmE
513,88,ykgM
514,71,insA6
515,112,intS_2
516,233,fre
517,162,rfaH
518,258,tatC
519,171,tatB
520,251,ubiE
521,255,xynR
522,502,ptsG_2
523,299,bioP
524,340,pldB
525,289,pldA
526,274,dapF
527,398,hemY
528,153,yjiG
529,67,yjiX
530,245,dnaC
531,157,yjjB
532,80,group_2872
533,88,group_1426
534,555,group_2950
535,348,group_6925
536,175,group_42
537,125,group_5734
538,128,cdiI
539,109,group_6906
540,133,mdtJ_2
541,221,group_5557
542,206,group_6100
543,154,group_2101
544,315,pflC_1
545,1128,cutC_2
546,384,adhE_2
547,85,group_1946
548,528,adhE_3
549,92,eutM_2
550,94,eutM_3
551,92,eutM_4
552,172,group_252
553,272,group_1841
554,192,group_6880
555,392,malY_3
556,70,rcsA_2
557,288,paaH
558,376,caiA_2
559,422,fenF
560,1598,grsB
561,1010,ppsE
562,487,aam
563,819,group_1036
564,504,flp
565,72,group_8292
566,45,group_8295
567,518,gshA
568,330,proX
569,109,group_6907
570,114,group_6468
571,52,yqaE
572,113,bamE
573,82,rpsP
574,182,rimM
575,115,rplS
576,356,aroF
577,373,tyrA
578,245,bamD
579,326,rluD
580,857,clpB
581,127,grcA
582,444,srmB
583,599,lepA
584,324,lepB
585,226,rnc
586,417,glyA
587,215,group_8296
588,294,group_577
589,165,group_864
590,77,group_3446
591,90,hypC
592,116,hypA
593,608,hycC
594,136,hycH
595,257,srlR_2
596,259,srlD
597,353,recA
598,61,csrA
599,319,group_7883
600,127,rplQ
601,206,rpsD
602,118,rpsM
603,38,rpmJ
604,443,secY
605,144,rplO
606,59,rpmD
607,167,rpsE
608,117,rplR
609,177,rplF
610,130,rpsH
611,101,rpsN
612,179,rplE
613,104,rplX
614,123,rplN
615,84,rpsQ
616,63,rpmC
617,136,rplP
618,233,rpsC
619,110,rplV
620,92,rpsS
621,273,rplB
622,100,rplW
623,201,rplD
624,209,rplC
625,103,rpsJ
626,367,proB
627,246,ldtF
628,255,yafJ
629,192,gmhA
630,96,group_82
631,305,oxyR
632,195,fdnG_2
633,71,group_4974
634,155,rnhA
635,167,group_683
636,163,ydeR_1
637,231,group_5240
638,30,group_8297
639,109,papB_1
640,127,secE
641,181,nusG
642,142,rplK
643,234,rplA
644,165,rplJ
645,196,group_6605
646,90,hupA
647,122,group_5936
648,68,group_5431
649,182,sfmF
650,213,betI_3
651,214,srp54
652,55,group_6397
653,274,yeeZ
654,109,group_6908
655,263,virF
656,250,fimC_5
657,145,insF5_1
658,295,argP_2
659,498,lysU_2
660,236,group_4626
661,708,cadA_2
662,436,cadB_2
663,260,deoR_2
664,208,group_8360
665,91,frmR
666,91,group_8366
667,80,group_8377
668,107,group_8378
669,272,group_1842
670,197,group_6529
671,112,maoP
672,87,ilvM
673,109,trxA
674,376,wecB
675,376,wecE
676,450,wzyE
677,154,group_8388
678,127,group_8389
679,249,yaaW_2
680,237,group_8385
681,103,group_8384
682,112,group_8390
683,325,group_8391
684,34,group_7749
685,404,group_8394
686,209,ftsE_3
687,249,sepA
688,74,group_8396
689,66,group_8397
690,242,group_8399
691,190,group_8400
692,70,group_5257
693,162,group_8401
694,107,group_7064
695,263,group_8402
696,79,group_3067
697,188,group_7162
698,137,group_4575
699,116,group_6310
700,57,group_6271
701,357,ugpC_3
702,295,ugpE_2
703,288,ugpA_2
704,75,ahr_2
705,80,group_8403
706,126,tdcF_2
707,250,group_3285
708,85,group_1947
709,159,group_1505
710,275,group_8404
711,161,group_1267
712,231,ybbA_2
713,376,group_6238
714,427,group_5424
715,459,group_4750
716,175,tpd
717,253,nqrC
718,52,group_6631
719,148,group_8412
720,83,group_8414
721,95,group_8409
722,341,group_8415
723,82,group_8407
724,65,group_8410
725,158,group_8419
726,124,group_5842
727,748,group_8420
728,729,group_1476
729,186,group_7327
730,295,ynfL_1
731,336,ydjG_1
732,138,group_4430
733,70,group_5259
734,314,psuG
735,580,group_2673
736,318,paoB
737,318,group_7932
738,554,mhpA
739,58,group_6199
740,64,group_8421
741,124,group_5829
742,633,group_2210
743,433,exuT_2
744,109,group_6910
745,218,lexA_2
746,54,group_6476
747,292,yihT
748,104,higB2_2
749,107,group_7065
750,105,group_7236
751,257,group_2789
752,76,group_3736
753,402,group_5789
754,102,group_7539
755,63,group_8507
756,201,group_8506
757,66,group_8479
758,70,group_8510
759,85,group_8502
760,90,group_8463
761,35,group_8439
762,137,group_8501
763,58,group_8504
764,84,group_8427
765,38,group_8508
766,595,group_8514
767,73,group_4403
768,73,group_4402
769,384,ftsH_2
770,492,ygcE
771,45,group_7111
772,262,paaG
773,401,paaJ
774,92,sgcB
775,268,sgcQ
776,330,rbsC_4
777,505,group_3648
778,334,lsrB_3
779,269,fucR_2
780,136,group_4761
781,61,group_5992
782,400,group_8516
783,247,group_3548
784,302,wbnK
785,63,group_5854
786,30,group_8517
787,359,group_6604
788,62,group_5929
789,58,group_6201
790,228,group_5342
791,372,group_6313
792,342,group_7073
793,64,group_5771
794,265,group_2280
795,335,group_7284
796,286,group_990
797,143,pdeL_2
798,173,group_185
799,230,yadV_2
800,175,group_44
801,55,group_6399
802,158,group_1623
803,81,rpnA_2
804,41,group_7346
805,107,group_7066
806,311,psuK_2
807,311,psuG_2
808,416,psuT_2
809,364,yeiI_2
810,66,group_5582
811,105,group_7235
812,64,bfd
813,158,bfr
814,57,group_6272
815,92,group_731
816,199,group_6374
817,240,group_4222
818,490,sasA
819,337,group_8518
820,347,idnD_1
821,258,lutR
822,216,rutR_2
823,403,nimT_2
824,254,yfaX_2
825,299,group_318
826,85,topAI_2
827,56,group_8519
828,247,group_8520
829,111,group_6734
830,85,group_8540
831,307,group_8532
832,175,group_8546
833,404,group_8552
834,144,group_8555
835,492,lyxK_2
836,332,group_7388
837,290,ykfA
838,86,group_1776
839,66,group_5584
840,88,group_1429
841,75,group_3959
842,241,group_8557
843,265,ybcM
844,186,group_7400
845,255,idnO_3
846,417,rspA_3
847,75,group_3960
848,83,group_2351
849,161,group_1268
850,164,group_8558
851,109,ybfB
852,132,vapC_1
853,61,group_5993
854,79,group_3070
855,492,dauA_2
856,275,group_8579
857,141,arsC_2
858,99,group_7908
859,126,yobA_1
860,309,yebZ_1
861,226,cusR_2
862,119,group_6120
863,243,frlR
864,276,frlC
865,340,frlB
866,50,group_6773
867,190,group_7017
868,720,ltxB
869,175,group_46
870,1281,hbp
871,166,group_792
872,96,group_8587
873,120,group_6055
874,214,group_8589
875,659,group_8594
876,612,uvrD1
877,114,group_8598
878,407,group_8588
879,439,group_8599
880,604,group_8595
881,133,group_8590
882,138,group_8596
883,192,group_8591
884,377,group_8597
885,120,group_8592
886,731,group_8593
887,33,group_8600
888,367,fliC_1
889,440,group_8601
890,331,group_7406
891,83,parD1
892,1020,group_550
893,382,group_6118
894,76,group_3740
895,148,farR
896,126,hpcD
897,170,rutF_2
898,183,yagU_1
899,56,group_6332
900,78,group_8602
901,769,group_8603
902,387,group_8608
903,416,group_8604
904,272,potC_2
905,284,potH_2
906,343,group_8607
907,320,gltC
908,309,ghrA_2
909,149,aroQ
910,204,yibF_2
911,331,qorA_2
912,382,group_8605
913,385,argE_2
914,224,group_8606
915,144,group_8609
916,98,group_8610
917,223,group_8611
918,42,group_8613
919,93,group_8612
920,477,group_8615
921,169,group_492
922,308,group_8619
923,335,group_8623
924,359,group_8622
925,255,group_8620
926,357,group_8621
927,265,group_8625
928,438,group_5293
929,52,group_6632
930,343,group_7050
931,61,group_5994
932,354,yfeX_2
933,416,group_8626
934,127,group_5608
935,72,group_4708
936,134,group_8627
937,169,group_8628
938,84,group_8629
939,69,group_8630
940,218,group_5671
941,132,group_5310
942,70,sfsB_1
943,684,group_1779
944,297,group_404
945,96,group_88
946,68,group_5434
947,214,group_5841
948,80,group_2877
949,148,group_2811
950,167,group_686
951,159,group_1508
952,80,group_2879
953,166,group_797
954,549,group_3027
955,522,group_3346
956,77,group_3448
957,472,group_4345
958,44,group_7166
959,426,group_8632
960,172,group_8631
961,101,group_7661
962,142,group_8633
963,123,group_8663
964,500,group_8683
965,65,group_8696
966,119,group_8701
967,349,group_8706
968,134,group_8650
969,288,group_8637
970,545,group_8694
971,87,group_8695
972,707,group_8704
973,88,group_1431
974,277,group_1509
975,61,group_5995
976,89,group_1261
977,369,group_6356
978,806,group_1096
979,101,group_7659
980,64,group_5772
981,228,group_5343
982,77,group_3450
983,104,group_7315
984,310,group_8185
985,228,group_5344
986,197,group_6531
987,519,group_3384
988,98,ybcO
989,193,group_6811
990,118,group_6191
991,162,rrrD
992,133,group_5260
993,80,group_2878
994,85,group_1952
995,57,group_6273
996,85,group_1953
997,61,group_5996
998,321,group_7800
999,543,group_3082
1000,492,group_3910
1001,219,group_5641
1002,61,group_5998
1003,413,group_5603
1004,165,group_868
1005,312,group_8140
1006,123,group_5893
1007,135,group_4935
1008,209,group_6006
1009,129,group_5485
1010,182,group_7678
1011,381,group_6142
1012,147,group_2942
1013,143,group_3545
1014,50,group_6777
1015,658,group_1989
1016,205,group_6140
1017,100,group_7768
1018,342,group_7074
1019,114,group_6470
1020,59,group_6126
1021,166,group_798
1022,218,group_5672
1023,117,group_6253
1024,399,group_5851
1025,226,group_5421
1026,394,group_5924
1027,172,group_257
1028,79,group_3071
1029,107,group_7067
1030,134,group_5120
1031,285,group_1049
1032,97,group_8710
1033,71,group_8731
1034,75,group_8729
1035,90,group_8712
1036,74,group_8719
1037,182,group_8714
1038,75,group_8730
1039,321,dam_1
1040,68,group_8711
1041,57,group_8716
1042,628,group_8722
1043,61,group_8724
1044,277,group_8732
1045,349,group_8728
1046,287,group_8720
1047,165,group_8723
1048,66,group_8726
1049,93,group_8734
1050,183,group_8733
1051,131,group_8725
1052,149,group_8721
1053,213,group_8715
1054,194,group_8718
1055,122,group_8727
1056,298,group_8735
1057,204,group_8717
1058,326,group_8713
1059,162,group_8738
1060,979,group_8740
1061,99,group_8743
1062,384,group_8737
1063,131,group_8745
1064,179,group_7986
1065,330,group_7431
1066,69,group_8746
1067,80,group_8679
1068,83,group_8654
1069,66,group_8747
1070,367,group_6410
1071,216,group_5754
1072,106,group_7152
1073,67,group_5498
1074,181,group_7792
1075,65,group_5676
1076,229,group_5312
1077,302,group_199
1078,101,group_7660
1079,131,mqsA
1080,86,group_8748
1081,161,group_8749
1082,86,group_8753
1083,575,group_8751
1084,185,group_8754
1085,116,group_8755
1086,68,group_8750
1087,63,group_8756
1088,51,group_6705
1089,252,group_3126
1090,34,group_7750
1091,411,group_5635
1092,726,group_8761
1093,319,group_8769
1094,1208,group_8760
1095,45,group_8770
1096,410,group_8776
1097,73,group_8780
1098,670,group_8779
1099,375,group_8774
1100,89,group_8773
1101,150,group_8783
1102,225,group_8784
1103,355,gtfA
1104,335,group_7285
1105,248,group_3435
1106,129,group_5487
1107,93,group_534
1108,200,group_8794
1109,98,group_8791
1110,171,group_8839
1111,67,group_8838
1112,152,hspA_1
1113,953,clpC_1
1114,189,group_8841
1115,129,group_8842
1116,40,group_8843
1117,46,group_8840
1118,67,group_8853
1119,130,group_8849
1120,76,group_8845
1121,168,group_8852
1122,357,group_8854
1123,680,group_1812
1124,483,group_4091
1125,410,group_8855
1126,388,hisC_2
1127,385,lldD_2
1128,361,gldA_2
1129,574,group_8858
1130,283,tauD_2
1131,275,tauC_3
1132,255,tauB_3
1133,320,tauA_2
1134,310,mmuM_1
1135,369,ydiK_2
1136,594,group_8857
1137,134,group_8859
1138,200,group_8860
1139,310,mmuM_2
1140,475,mmuP_2
1141,29,group_8017
1142,316,mhpF_2
1143,110,yhhH_1
1144,189,group_7083
1145,161,group_8863
1146,99,group_8864
1147,310,group_8865
1148,171,group_8866
1149,475,group_8867
1150,55,group_8868
1151,439,group_8869
1152,270,group_8570
1153,48,group_8870
1154,82,group_2517
1155,279,group_8874
1156,307,fieF_2
1157,190,group_8875
1158,412,group_8876
1159,90,group_8877
1160,69,group_8878
1161,345,group_8880
1162,114,group_8879
1163,268,group_2094
1164,146,group_3074
1165,453,group_4916
1166,267,group_2150
1167,76,group_3747
1168,219,group_5642
1169,139,higA_2
1170,103,higB_2
1171,291,repB_3
1172,160,casB
1173,303,ybiO_2
1174,241,wcaE_1
1175,453,dgoT_2
1176,236,group_8881
1177,64,group_8882
1178,338,group_8883
1179,70,group_5261
1180,60,group_8884
1181,269,group_2041
1182,90,group_1098
1183,31,group_8885
1184,456,group_4838
1185,39,group_8886
1186,238,yfjR_1
1187,90,group_1097
1188,949,group_646
1189,326,group_7586
1190,795,group_1153
1191,538,group_3142
1192,956,group_635
1193,168,group_606
1194,66,group_5589
1195,340,group_7147
1196,194,group_6741
1197,154,group_2106
1198,915,group_749
1199,55,group_6401
1200,210,group_5971
1201,284,group_1127
1202,93,gatB_2
1203,286,kbaY_1
1204,71,group_4985
1205,393,group_5937
1206,114,group_6472
1207,71,group_8899
1208,93,group_535
1209,244,group_3886
1210,167,group_687
1211,305,group_98
1212,208,group_6057
1213,97,borD
1214,752,group_8904
1215,33,group_7815
1216,150,group_2569
1217,95,ulaB_2
1218,80,cdiA_2
1219,159,group_1510
1220,57,group_6275
1221,319,ghrB_3
1222,218,proA_2
1223,312,ydjH_3
1224,219,nanR_2
1225,119,group_8905
1226,332,fecC
1227,34,group_7751
1228,99,group_8086
1229,73,group_4412
1230,113,group_6551
1231,232,group_8906
1232,297,group_8908
1233,79,group_8915
1234,204,group_6177
1235,313,group_8123
1236,377,group_6217
1237,159,group_1511
1238,155,yfjT_2
1239,82,group_2521
1240,198,group_6482
1241,198,group_6483
1242,89,group_1263
1243,269,ucpA_1
1244,142,fruB_1
1245,232,fucR_1
1246,390,mtlD_1
1247,363,group_6498
1248,222,group_5532
1249,469,group_4440
1250,400,dgoD_1
1251,479,mleN
1252,466,ybhI_2
1253,116,group_8281
1254,386,group_8293
1255,64,group_8925
1256,278,group_8931
1257,169,group_8929
1258,158,group_8930
1259,513,group_3473
1260,71,group_4986
1261,93,group_537
1262,81,group_2699
1263,261,flgG_2
1264,65,group_5678
1265,187,group_7256
1266,115,group_6370
1267,112,group_6647
1268,317,group_7972
1269,152,group_2363
1270,210,group_5972
1271,53,group_6553
1272,1559,group_149
1273,142,group_3711
1274,161,group_1270
1275,285,manZ_2
1276,247,dgaF
1277,963,group_625
1278,214,group_5843
1279,372,adhE_1
1280,234,group_4866
1281,89,eutN_2
1282,165,group_869
1283,261,pduB
1284,511,astD_1
1285,191,yhbO_2
1286,850,ybiW_2
1287,305,ybiY_2
1288,181,group_7793
1289,80,group_2887
1290,305,rdgC_2
1291,123,quuD
1292,152,yehP_1
1293,104,group_7319
1294,132,group_8932
1295,113,group_6554
1296,117,group_6255
1297,264,group_2329
1298,29,group_8018
1299,52,group_6633
1300,88,group_8940
1301,173,group_187
1302,353,group_8947
1303,300,rcdB_1
1304,157,group_1763
1305,61,group_8951
1306,269,group_2043
1307,162,group_1159
1308,318,lpxD_1
1309,179,group_7989
1310,135,group_4940
1311,177,group_8150
1312,368,group_6376
1313,421,group_5482
1314,328,group_7495
1315,296,group_463
1316,365,pglJ
1317,342,group_8952
1318,44,group_8953
1319,133,group_8954
1320,380,group_8955
1321,546,group_3052
1322,73,group_4415
1323,59,group_6127
1324,430,group_8957
1325,573,group_8956
1326,106,group_7157
1327,498,group_3816
1328,107,group_7068
1329,453,group_8958
1330,165,group_871
1331,63,group_8960
1332,52,group_6634
1333,46,group_7033
1334,196,group_8963
1335,79,group_3076
1336,96,group_8964
1337,104,group_7320
1338,81,group_2701
1339,253,group_3059
1340,99,group_7915
1341,672,group_1870
1342,94,group_374
1343,30,group_7970
1344,269,group_2045
1345,77,dinI_1
1346,64,group_5775
1347,334,group_7316
1348,278,group_1457
1349,56,group_6333
1350,381,group_8965
1351,239,group_8970
1352,97,group_8220
1353,549,group_3026
1354,91,group_932
1355,94,group_376
1356,321,yjhU
1357,94,sgcB_1
1358,178,lacB
1359,250,group_3290
1360,818,group_5928
1361,160,group_1391
1362,222,group_5533
1363,296,group_464
1364,88,group_1441
1365,210,group_5974
1366,418,group_5535
1367,306,group_64
1368,157,group_1767
1369,232,group_5092
1370,265,group_2282
1371,132,group_5313
1372,302,group_8971
1373,128,group_5542
1374,274,group_1680
1375,246,group_3686
1376,129,group_5488
1377,111,group_6740
1378,364,group_6481
1379,771,nrdA_2
1380,380,nrdB_2
1381,236,group_4639
1382,221,group_5559
1383,281,group_1280
1384,79,group_3077
1385,67,group_5501
1386,249,group_3361
1387,56,group_6334
1388,189,group_7088
1389,193,group_6820
1390,96,group_94
1391,152,group_2370
1392,208,group_6036
1393,178,group_8071
1394,152,group_2368
1395,431,group_5372
1396,208,group_6037
1397,246,group_8972
1398,213,group_8973
1399,438,group_8974
1400,242,group_4089
1401,80,group_8975
1402,223,group_5499
1403,144,group_8977
1404,151,group_8976
1405,326,group_7588
1406,31,group_8978
1407,478,group_8979
1408,308,group_8980
1409,190,group_7027
1410,162,yfcQ
1411,179,group_7990
1412,273,group_1753
1413,62,group_5932
1414,109,group_6917
1415,72,group_8981
1416,119,cdiA4_1
1417,153,group_2243
1418,126,group_5673
1419,264,group_8982
1420,88,group_8983
1421,224,yhcA
1422,96,group_95
1423,247,group_3557
1424,115,emrE_2
1425,262,ant1
1426,58,group_6206
1427,161,group_8984
1428,211,group_8985
1429,52,group_6636
1430,122,group_8986
1431,182,nohA
1432,78,group_3248
1433,320,parM
1434,100,group_7774
1435,238,group_4419
1436,123,group_5895
1437,62,group_5933
1438,68,group_5437
1439,247,group_8987
1440,183,group_8988
1441,267,group_8989
1442,224,group_8990
1443,258,group_8992
1444,167,group_8991
1445,173,group_8993
1446,101,papB
1447,245,group_8995
1448,74,group_8994
1449,78,group_8996
1450,584,group_8997
1451,375,group_8998
1452,337,group_7245
1453,358,group_6635
1454,363,group_6499
1455,360,group_6582
1456,269,group_8999
1457,345,group_9000
1458,322,group_9001
1459,310,group_9002
1460,160,group_9003
1461,182,group_7684
1462,533,uxaA_3
1463,297,group_405
1464,60,group_9004
1465,188,group_7168
1466,204,group_6180
1467,154,group_2110
1468,124,group_5830
1469,62,group_9005
1470,766,group_9006
1471,379,group_6174
1472,363,cytR_1
1473,433,group_5353
1474,320,yihV_2
1475,337,group_9008
1476,497,group_9009
1477,397,group_9007
1478,477,sacA_1
1479,412,lacY_2
1480,331,group_9010
1481,48,group_9011
1482,359,group_6609
1483,401,group_5819
1484,474,dcm_2
1485,114,group_6475
1486,99,group_7156
1487,274,group_1682
1488,57,group_6276
1489,73,group_9012
1490,235,atoD_2
1491,218,atoA_2
1492,401,yqeF_2
1493,307,paaH_2
1494,463,group_4634
1495,256,ucpA_2
1496,271,group_9013
1497,55,icd_1
1498,58,group_6208
1499,174,cai
1500,183,group_9015
1501,62,group_9014
1502,167,group_9016
1503,41,group_9017
1504,144,group_3374
1505,57,group_9018
1506,245,group_9019
1507,270,group_1981
1508,246,group_3688
1509,236,group_4640
1510,344,group_7024
1511,87,group_9020
1512,388,group_6022
1513,294,pkn1_1
1514,729,group_1477
1515,74,group_4179
1516,95,group_240
1517,380,group_6162
1518,226,sadB
1519,330,group_7434
1520,129,group_9021
1521,243,group_9022
1522,282,group_1224
1523,71,group_5000
1524,160,group_1392
1525,82,group_2525
1526,369,ompC_2
