# gapseq version: 1.2 9b30141
# Transporter sequence DB md5sum: b99a77e (2022-05-13)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	99.590	7.62e-161	490	100	NZ_WIDO01000010.1 Escherichia coli OP50 NODE_10_length_121243_cov_79.198165, whole genome shotgun sequence	5413	4682	transporter
gnl|TC-DB|P0ABU9|1.A.30.2.2	1.A.30.2.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU9|1.A.30.2.2	99.565	2.00e-152	466	100	NZ_WIDO01000021.1 Escherichia coli OP50 NODE_21_length_80566_cov_63.965651, whole genome shotgun sequence	41109	41798	transporter
gnl|TC-DB|P37002|1.A.43.1.1	1.A.43.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P37002|1.A.43.1.1	97.638	1.93e-68	220	100	NZ_WIDO01000050.1 Escherichia coli OP50 NODE_50_length_30194_cov_54.601789, whole genome shotgun sequence	24295	24675	transporter
gnl|TC-DB|W9BH30|1.A.46.2.8	1.A.46.2.8	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|W9BH30|1.A.46.2.8	55.738	7.92e-110	347	100	NZ_WIDO01000036.1 Escherichia coli OP50 NODE_36_length_47131_cov_37.138605, whole genome shotgun sequence	22187	21276	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	33.333	3.36e-19	82.4	96	NZ_WIDO01000007.1 Escherichia coli OP50 NODE_7_length_139498_cov_80.661580, whole genome shotgun sequence	93533	92940	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	33.333	3.36e-19	82.4	96	NZ_WIDO01000007.1 Escherichia coli OP50 NODE_7_length_139498_cov_80.661580, whole genome shotgun sequence	93533	92940	transporter
gnl|TC-DB|Q66I64|1.A.8.10.16	1.A.8.10.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q66I64|1.A.8.10.16	30.435	6.27e-15	71.6	80	NZ_WIDO01000006.1 Escherichia coli OP50 NODE_6_length_139597_cov_73.740733, whole genome shotgun sequence	129699	129016	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	32.273	6.28e-16	74.3	82	NZ_WIDO01000006.1 Escherichia coli OP50 NODE_6_length_139597_cov_73.740733, whole genome shotgun sequence	129654	129016	transporter
gnl|TC-DB|P25818|1.A.8.10.3	1.A.8.10.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P25818|1.A.8.10.3	31.356	3.03e-11	60.5	87	NZ_WIDO01000006.1 Escherichia coli OP50 NODE_6_length_139597_cov_73.740733, whole genome shotgun sequence	129693	129016	transporter
gnl|TC-DB|P0AER0|1.A.8.1.1	1.A.8.1.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P0AER0|1.A.8.1.1	100.000	1.22e-171	523	100	NZ_WIDO01000009.1 Escherichia coli OP50 NODE_9_length_128176_cov_87.817656, whole genome shotgun sequence	78892	78050	transporter
gnl|TC-DB|P08995|1.A.8.12.1	1.A.8.12.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P08995|1.A.8.12.1	39.269	8.46e-30	115	75	NZ_WIDO01000006.1 Escherichia coli OP50 NODE_6_length_139597_cov_73.740733, whole genome shotgun sequence	129672	129019	transporter
gnl|TC-DB|Q8W037|1.A.8.12.4	1.A.8.12.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8W037|1.A.8.12.4	29.268	4.52e-16	75.9	75	NZ_WIDO01000009.1 Escherichia coli OP50 NODE_9_length_128176_cov_87.817656, whole genome shotgun sequence	78865	78131	transporter
gnl|TC-DB|O28846|1.A.8.13.1	1.A.8.13.1	GLYCEROL	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O28846|1.A.8.13.1	37.321	7.08e-16	74.3	80	NZ_WIDO01000006.1 Escherichia coli OP50 NODE_6_length_139597_cov_73.740733, whole genome shotgun sequence	129636	129073	transporter
gnl|TC-DB|Q9C4Z5|1.A.8.13.2	1.A.8.13.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9C4Z5|1.A.8.13.2	33.333	2.85e-24	98.6	99	NZ_WIDO01000009.1 Escherichia coli OP50 NODE_9_length_128176_cov_87.817656, whole genome shotgun sequence	78877	78122	transporter
gnl|TC-DB|D7VF10|1.A.8.13.3	1.A.8.13.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VF10|1.A.8.13.3	38.889	1.37e-18	81.3	89	NZ_WIDO01000006.1 Escherichia coli OP50 NODE_6_length_139597_cov_73.740733, whole genome shotgun sequence	129636	129019	transporter
gnl|TC-DB|Q8Y6Z1|1.A.8.2.11	1.A.8.2.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8Y6Z1|1.A.8.2.11	38.362	1.39e-31	120	78	NZ_WIDO01000009.1 Escherichia coli OP50 NODE_9_length_128176_cov_87.817656, whole genome shotgun sequence	78802	78116	transporter
gnl|TC-DB|P22094|1.A.8.2.2	1.A.8.2.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P22094|1.A.8.2.2	26.613	5.84e-08	51.2	84	NZ_WIDO01000009.1 Escherichia coli OP50 NODE_9_length_128176_cov_87.817656, whole genome shotgun sequence	78892	78257	transporter
gnl|TC-DB|P52280|1.A.8.2.3	1.A.8.2.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P52280|1.A.8.2.3	30.078	7.40e-12	62.0	95	NZ_WIDO01000009.1 Escherichia coli OP50 NODE_9_length_128176_cov_87.817656, whole genome shotgun sequence	78859	78143	transporter
gnl|TC-DB|C6VJ63|1.A.8.2.4	1.A.8.2.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|C6VJ63|1.A.8.2.4	31.148	6.70e-20	85.9	95	NZ_WIDO01000009.1 Escherichia coli OP50 NODE_9_length_128176_cov_87.817656, whole genome shotgun sequence	78865	78146	transporter
gnl|TC-DB|D7V7W8|1.A.8.2.5	1.A.8.2.5	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V7W8|1.A.8.2.5	36.538	5.87e-18	80.1	81	NZ_WIDO01000009.1 Escherichia coli OP50 NODE_9_length_128176_cov_87.817656, whole genome shotgun sequence	78859	78257	transporter
gnl|TC-DB|D7V8E7|1.A.8.2.6	1.A.8.2.6	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V8E7|1.A.8.2.6	34.466	3.43e-15	72.0	80	NZ_WIDO01000009.1 Escherichia coli OP50 NODE_9_length_128176_cov_87.817656, whole genome shotgun sequence	78865	78257	transporter
gnl|TC-DB|D7VEY8|1.A.8.2.7	1.A.8.2.7	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VEY8|1.A.8.2.7	33.036	4.42e-19	83.6	83	NZ_WIDO01000009.1 Escherichia coli OP50 NODE_9_length_128176_cov_87.817656, whole genome shotgun sequence	78883	78257	transporter
gnl|TC-DB|D7VC84|1.A.8.2.8	1.A.8.2.8	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VC84|1.A.8.2.8	31.557	1.02e-12	64.7	95	NZ_WIDO01000009.1 Escherichia coli OP50 NODE_9_length_128176_cov_87.817656, whole genome shotgun sequence	78865	78146	transporter
gnl|TC-DB|D0JBC9|1.A.8.2.9	1.A.8.2.9	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D0JBC9|1.A.8.2.9	33.333	1.99e-19	84.7	97	NZ_WIDO01000009.1 Escherichia coli OP50 NODE_9_length_128176_cov_87.817656, whole genome shotgun sequence	78865	78140	transporter
gnl|TC-DB|P29972|1.A.8.8.1	1.A.8.8.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P29972|1.A.8.8.1	35.349	2.65e-24	99.8	75	NZ_WIDO01000006.1 Escherichia coli OP50 NODE_6_length_139597_cov_73.740733, whole genome shotgun sequence	129639	129016	transporter
gnl|TC-DB|XP_014257049.1|1.A.8.8.27	1.A.8.8.27	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|XP_014257049.1|1.A.8.8.27	24.464	9.37e-08	50.1	78	NZ_WIDO01000009.1 Escherichia coli OP50 NODE_9_length_128176_cov_87.817656, whole genome shotgun sequence	78925	78236	transporter
gnl|TC-DB|O43315|1.A.8.9.14	1.A.8.9.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O43315|1.A.8.9.14	39.100	8.21e-52	180	94	NZ_WIDO01000009.1 Escherichia coli OP50 NODE_9_length_128176_cov_87.817656, whole genome shotgun sequence	78922	78062	transporter
gnl|TC-DB|806392255|1.A.8.9.10	1.A.8.9.10	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|806392255|1.A.8.9.10	36.719	5.27e-35	131	85	NZ_WIDO01000009.1 Escherichia coli OP50 NODE_9_length_128176_cov_87.817656, whole genome shotgun sequence	78880	78119	transporter
gnl|TC-DB|Q8WPZ6|1.A.8.9.13	1.A.8.9.13	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8WPZ6|1.A.8.9.13	36.694	2.38e-29	114	90	NZ_WIDO01000009.1 Escherichia coli OP50 NODE_9_length_128176_cov_87.817656, whole genome shotgun sequence	78865	78128	transporter
gnl|TC-DB|O43315|1.A.8.9.14	1.A.8.9.14	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O43315|1.A.8.9.14	39.100	8.21e-52	180	94	NZ_WIDO01000009.1 Escherichia coli OP50 NODE_9_length_128176_cov_87.817656, whole genome shotgun sequence	78922	78062	transporter
gnl|TC-DB|ALA27401|1.A.8.9.17	1.A.8.9.17	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|ALA27401|1.A.8.9.17	34.495	1.39e-29	117	83	NZ_WIDO01000009.1 Escherichia coli OP50 NODE_9_length_128176_cov_87.817656, whole genome shotgun sequence	78922	78107	transporter
gnl|TC-DB|Q388I5|1.A.8.9.19	1.A.8.9.19	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q388I5|1.A.8.9.19	33.197	1.27e-24	101	76	NZ_WIDO01000009.1 Escherichia coli OP50 NODE_9_length_128176_cov_87.817656, whole genome shotgun sequence	78859	78128	transporter
gnl|TC-DB|P56627|1.A.8.9.2	1.A.8.9.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P56627|1.A.8.9.2	35.836	4.00e-42	152	94	NZ_WIDO01000009.1 Escherichia coli OP50 NODE_9_length_128176_cov_87.817656, whole genome shotgun sequence	78931	78059	transporter
gnl|TC-DB|Q6ZXT2|1.A.8.9.21	1.A.8.9.21	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q6ZXT2|1.A.8.9.21	37.705	2.66e-36	135	78	NZ_WIDO01000009.1 Escherichia coli OP50 NODE_9_length_128176_cov_87.817656, whole genome shotgun sequence	78859	78128	transporter
gnl|TC-DB|O14520|1.A.8.9.6	1.A.8.9.6	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O14520|1.A.8.9.6	31.559	4.91e-28	112	75	NZ_WIDO01000009.1 Escherichia coli OP50 NODE_9_length_128176_cov_87.817656, whole genome shotgun sequence	78865	78086	transporter
gnl|TC-DB|F6QEC2|1.A.8.9.9	1.A.8.9.9	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|F6QEC2|1.A.8.9.9	35.125	4.58e-41	149	91	NZ_WIDO01000009.1 Escherichia coli OP50 NODE_9_length_128176_cov_87.817656, whole genome shotgun sequence	78880	78059	transporter
gnl|TC-DB|Q50E47|1.A.98.1.2	1.A.98.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q50E47|1.A.98.1.2	26.230	8.9	21.2	95	NZ_WIDO01000003.1 Escherichia coli OP50 NODE_3_length_168120_cov_68.602198, whole genome shotgun sequence	154192	154365	transporter
gnl|TC-DB|P0C6Q6|1.B.1.1.15	1.B.1.1.15	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0C6Q6|1.B.1.1.15	26.902	9.74e-16	75.9	90	NZ_WIDO01000059.1 Escherichia coli OP50 NODE_59_length_16606_cov_55.250865, whole genome shotgun sequence	2274	1213	transporter
gnl|TC-DB|P13036|1.B.14.1.20	1.B.14.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P13036|1.B.14.1.20	99.612	0.0	1561	100	NZ_WIDO01000038.1 Escherichia coli OP50 NODE_38_length_45177_cov_68.996138, whole genome shotgun sequence	3758	6079	transporter
gnl|TC-DB|P05825|1.B.14.1.22	1.B.14.1.22	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P05825|1.B.14.1.22	99.866	0.0	1466	100	NZ_WIDO01000053.1 Escherichia coli OP50 NODE_53_length_27311_cov_107.265708, whole genome shotgun sequence	3270	1033	transporter
gnl|TC-DB|P33369|1.B.17.3.10	1.B.17.3.10	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P33369|1.B.17.3.10	98.745	0.0	956	100	NZ_WIDO01000014.1 Escherichia coli OP50 NODE_14_length_111060_cov_79.196758, whole genome shotgun sequence	74769	76202	transporter
gnl|TC-DB|P71461|1.C.30.1.1	1.C.30.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71461|1.C.30.1.1	37.288	2.6	22.7	85	NZ_WIDO01000016.1 Escherichia coli OP50 NODE_16_length_105259_cov_95.752663, whole genome shotgun sequence	29850	30023	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0C931|1.C.32.2.2	50.000	9.8	18.5	80	NZ_WIDO01000056.1 Escherichia coli OP50 NODE_56_length_21018_cov_71.137715, whole genome shotgun sequence	7449	7484	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0C931|1.C.32.2.2	50.000	9.8	18.5	80	NZ_WIDO01000056.1 Escherichia coli OP50 NODE_56_length_21018_cov_71.137715, whole genome shotgun sequence	7449	7484	transporter
gnl|TC-DB|P15701|2.A.10.1.1	2.A.10.1.1	2-dehydro-3-deoxy-D-gluconate	EX_cpd00176_e0	rxn05681,rxn08319	gnl|TC-DB|P15701|2.A.10.1.1	90.446	7.73e-140	435	93	NZ_WIDO01000009.1 Escherichia coli OP50 NODE_9_length_128176_cov_87.817656, whole genome shotgun sequence	62492	63433	transporter
gnl|TC-DB|P0A712|2.A.10.1.2	2.A.10.1.2	2-dehydro-3-deoxy-D-gluconate	EX_cpd00176_e0	rxn05681,rxn08319	gnl|TC-DB|P0A712|2.A.10.1.2	100.000	1.77e-166	511	100	NZ_WIDO01000009.1 Escherichia coli OP50 NODE_9_length_128176_cov_87.817656, whole genome shotgun sequence	62492	63472	transporter
gnl|TC-DB|P50847|2.A.10.1.3	2.A.10.1.3	2-dehydro-3-deoxy-D-gluconate	EX_cpd00176_e0	rxn05681,rxn08319	gnl|TC-DB|P50847|2.A.10.1.3	51.097	9.93e-67	224	97	NZ_WIDO01000009.1 Escherichia coli OP50 NODE_9_length_128176_cov_87.817656, whole genome shotgun sequence	62492	63448	transporter
gnl|TC-DB|Q8EDB6|2.A.102.3.4	2.A.102.3.4	glycine	EX_cpd00033_e0	rxn05582,rxn08660,rxn08661,rxn09748,rxn10537,rxn12379,rxn34381,rxn34382,rxn34466,rxn34502	gnl|TC-DB|Q8EDB6|2.A.102.3.4	55.645	2.39e-76	249	92	NZ_WIDO01000023.1 Escherichia coli OP50 NODE_23_length_74157_cov_78.707835, whole genome shotgun sequence	55743	55015	transporter
gnl|TC-DB|A8ANM6|2.A.104.1.1	2.A.104.1.1	alanine	EX_cpd00035_e0	rxn05215,rxn05496,rxn08101,rxn08102,rxn34464,rxn34465,rxn34485,rxn34486	gnl|TC-DB|A8ANM6|2.A.104.1.1	87.248	9.11e-87	273	100	NZ_WIDO01000019.1 Escherichia coli OP50 NODE_19_length_89718_cov_93.636236, whole genome shotgun sequence	10667	11113	transporter
gnl|TC-DB|P76264|2.A.107.1.1	2.A.107.1.1	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|P76264|2.A.107.1.1	100.000	4.38e-108	336	100	NZ_WIDO01000012.1 Escherichia coli OP50 NODE_12_length_115119_cov_63.492008, whole genome shotgun sequence	25988	26551	transporter
gnl|TC-DB|O27840|2.A.107.1.2	2.A.107.1.2	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|O27840|2.A.107.1.2	34.731	8.67e-25	97.8	88	NZ_WIDO01000012.1 Escherichia coli OP50 NODE_12_length_115119_cov_63.492008, whole genome shotgun sequence	25988	26488	transporter
gnl|TC-DB|WP_100324686.1|2.A.107.1.4	2.A.107.1.4	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|WP_100324686.1|2.A.107.1.4	31.250	1.43e-15	71.2	92	NZ_WIDO01000012.1 Escherichia coli OP50 NODE_12_length_115119_cov_63.492008, whole genome shotgun sequence	26009	26536	transporter
gnl|TC-DB|Q1P9T1|2.A.108.1.7	2.A.108.1.7	iron	EX_cpd10515_e0	rxn08473,rxn08474,rxn12504,rxn29259,rxn08476,rxn10963,rxn13286,rxn33142,rxn34369	gnl|TC-DB|Q1P9T1|2.A.108.1.7	22.745	2.70e-07	51.2	75	NZ_WIDO01000007.1 Escherichia coli OP50 NODE_7_length_139498_cov_80.661580, whole genome shotgun sequence	53154	54494	transporter
gnl|TC-DB|Q1P9T1|2.A.108.1.7	2.A.108.1.7	iron	EX_cpd10516_e0	rxn29260	gnl|TC-DB|Q1P9T1|2.A.108.1.7	22.745	2.70e-07	51.2	75	NZ_WIDO01000007.1 Escherichia coli OP50 NODE_7_length_139498_cov_80.661580, whole genome shotgun sequence	53154	54494	transporter
gnl|TC-DB|Q8YBL6|2.A.108.2.2	2.A.108.2.2	iron	EX_cpd10515_e0	rxn08473,rxn08474,rxn12504,rxn29259,rxn08476,rxn10963,rxn13286,rxn33142,rxn34369	gnl|TC-DB|Q8YBL6|2.A.108.2.2	28.261	5.07e-11	60.5	98	NZ_WIDO01000003.1 Escherichia coli OP50 NODE_3_length_168120_cov_68.602198, whole genome shotgun sequence	155062	155874	transporter
gnl|TC-DB|Q8YBL6|2.A.108.2.2	2.A.108.2.2	iron	EX_cpd10516_e0	rxn29260	gnl|TC-DB|Q8YBL6|2.A.108.2.2	28.261	5.07e-11	60.5	98	NZ_WIDO01000003.1 Escherichia coli OP50 NODE_3_length_168120_cov_68.602198, whole genome shotgun sequence	155062	155874	transporter
gnl|TC-DB|P31545|2.A.108.2.3	2.A.108.2.3	iron	EX_cpd10515_e0	rxn08473,rxn08474,rxn12504,rxn29259,rxn08476,rxn10963,rxn13286,rxn33142,rxn34369	gnl|TC-DB|P31545|2.A.108.2.3	99.764	0.0	875	100	NZ_WIDO01000003.1 Escherichia coli OP50 NODE_3_length_168120_cov_68.602198, whole genome shotgun sequence	157080	158348	transporter
gnl|TC-DB|P31545|2.A.108.2.3	2.A.108.2.3	iron	EX_cpd10516_e0	rxn29260	gnl|TC-DB|P31545|2.A.108.2.3	99.764	0.0	875	100	NZ_WIDO01000003.1 Escherichia coli OP50 NODE_3_length_168120_cov_68.602198, whole genome shotgun sequence	157080	158348	transporter
gnl|TC-DB|G7HJF7|2.A.108.2.9	2.A.108.2.9	iron	EX_cpd10515_e0	rxn08473,rxn08474,rxn12504,rxn29259,rxn08476,rxn10963,rxn13286,rxn33142,rxn34369	gnl|TC-DB|G7HJF7|2.A.108.2.9	29.268	6.60e-19	84.0	87	NZ_WIDO01000003.1 Escherichia coli OP50 NODE_3_length_168120_cov_68.602198, whole genome shotgun sequence	155077	155799	transporter
gnl|TC-DB|G7HJF7|2.A.108.2.9	2.A.108.2.9	iron	EX_cpd10516_e0	rxn29260	gnl|TC-DB|G7HJF7|2.A.108.2.9	29.268	6.60e-19	84.0	87	NZ_WIDO01000003.1 Escherichia coli OP50 NODE_3_length_168120_cov_68.602198, whole genome shotgun sequence	155077	155799	transporter
gnl|TC-DB|P0AFF4|2.A.1.10.1	2.A.1.10.1	adenosine	EX_cpd00182_e0	rxn05318,rxn08068,rxn12381	gnl|TC-DB|P0AFF4|2.A.1.10.1	100.000	0.0	845	100	NZ_WIDO01000008.1 Escherichia coli OP50 NODE_8_length_128400_cov_74.965254, whole genome shotgun sequence	20865	19612	transporter
gnl|TC-DB|P0AFF4|2.A.1.10.1	2.A.1.10.1	cytidine	EX_cpd00367_e0	rxn05198,rxn08289,rxn10857,rxn12413,rxn13338,rxn10997	gnl|TC-DB|P0AFF4|2.A.1.10.1	100.000	0.0	845	100	NZ_WIDO01000008.1 Escherichia coli OP50 NODE_8_length_128400_cov_74.965254, whole genome shotgun sequence	20865	19612	transporter
gnl|TC-DB|P0AFF4|2.A.1.10.1	2.A.1.10.1	guanosine	EX_cpd00311_e0	rxn05204,rxn08671,rxn09747,rxn12427,rxn28613	gnl|TC-DB|P0AFF4|2.A.1.10.1	100.000	0.0	845	100	NZ_WIDO01000008.1 Escherichia coli OP50 NODE_8_length_128400_cov_74.965254, whole genome shotgun sequence	20865	19612	transporter
