Genome,Fraction,length
46,Metab_model_size,3017471
46,Genome_diff,1722443
47,Metab_model_size,3029706
47,Genome_diff,1691906
48,Metab_model_size,3140507
48,Genome_diff,1911055
49,Metab_model_size,3064886
49,Genome_diff,2124071
50,Metab_model_size,3075828
50,Genome_diff,2077261
51,Metab_model_size,2987801
51,Genome_diff,1687356
52,Metab_model_size,3065870
52,Genome_diff,1853645
53,Metab_model_size,3112008
53,Genome_diff,1853847
54,Metab_model_size,2996005
54,Genome_diff,1675017
55,Metab_model_size,2997959
55,Genome_diff,1678346
56,Metab_model_size,3021881
56,Genome_diff,1995074
57,Metab_model_size,3084659
57,Genome_diff,2052780
58,Metab_model_size,3138207
58,Genome_diff,1588253
59,Metab_model_size,3038401
59,Genome_diff,2074114
6,Metab_model_size,4673059
6,Genome_diff,NA
60,Metab_model_size,3158877
60,Genome_diff,1712415
61,Metab_model_size,2997010
61,Genome_diff,1897634
62,Metab_model_size,3100789
62,Genome_diff,1971170
63,Metab_model_size,3081705
63,Genome_diff,2173751
64,Metab_model_size,3178685
64,Genome_diff,2040534
65,Metab_model_size,2974499
65,Genome_diff,1880453
67,Metab_model_size,3159852
67,Genome_diff,1641003
68,Metab_model_size,3043830
68,Genome_diff,2148027
69,Metab_model_size,3064567
69,Genome_diff,2107462
70,Metab_model_size,3009604
70,Genome_diff,1759544
71,Metab_model_size,2990548
71,Genome_diff,2100078
74,Metab_model_size,3044889
74,Genome_diff,1593313
75,Metab_model_size,3100425
75,Genome_diff,1999649
76,Metab_model_size,3115365
76,Genome_diff,1629417
77,Metab_model_size,2992690
77,Genome_diff,2196500
78,Metab_model_size,3072344
78,Genome_diff,1519774
79,Metab_model_size,3125067
79,Genome_diff,1629629
8,Metab_model_size,3061803
8,Genome_diff,1894618
80,Metab_model_size,3053025
80,Genome_diff,1996853
81,Metab_model_size,3121636
81,Genome_diff,1889088
82,Metab_model_size,3142440
82,Genome_diff,1537785
83,Metab_model_size,3033199
83,Genome_diff,1914675
84,Metab_model_size,3083686
84,Genome_diff,2167776
85,Metab_model_size,3058618
85,Genome_diff,1700705
86,Metab_model_size,3106181
86,Genome_diff,1699622
87,Metab_model_size,3044211
87,Genome_diff,1638602
88,Metab_model_size,3061026
88,Genome_diff,1744438
89,Metab_model_size,2992913
89,Genome_diff,2634563
9,Metab_model_size,2926981
9,Genome_diff,2090764
90,Metab_model_size,3091520
90,Genome_diff,2070851
91,Metab_model_size,3028033
91,Genome_diff,1724267
92,Metab_model_size,3043173
92,Genome_diff,1898812
93,Metab_model_size,3028294
93,Genome_diff,2179065
94,Metab_model_size,3074856
94,Genome_diff,2023138
95,Metab_model_size,3051321
95,Genome_diff,1687498
96,Metab_model_size,3059841
96,Genome_diff,1863210
97,Metab_model_size,3151441
97,Genome_diff,2086185
98,Metab_model_size,3098615
98,Genome_diff,2130060
99,Metab_model_size,3044926
99,Genome_diff,1678483
FOC_10,Metab_model_size,3098459
FOC_10,Genome_diff,1541686
FOC_3,Metab_model_size,3010690
FOC_3,Genome_diff,2028052
FOC_5.1,Metab_model_size,3133470
FOC_5.1,Genome_diff,1959244
FOC_7.1,Metab_model_size,3077476
FOC_7.1,Genome_diff,2011406
NT12001_189,Metab_model_size,3082021
NT12001_189,Genome_diff,1559631
NT12002_188,Metab_model_size,2960652
NT12002_188,Genome_diff,1566595
NT12003_214,Metab_model_size,3067934
NT12003_214,Genome_diff,1505087
NT12004_22,Metab_model_size,3066780
NT12004_22,Genome_diff,1564689
NT12005_17,Metab_model_size,3083907
NT12005_17,Genome_diff,1475040
NT12006_215,Metab_model_size,2976751
NT12006_215,Genome_diff,1622219
NT12007_60,Metab_model_size,2953076
NT12007_60,Genome_diff,2256472
NT12008_101,Metab_model_size,3147667
NT12008_101,Genome_diff,1552893
NT12009_154,Metab_model_size,1606198
NT12009_154,Genome_diff,2811122
NT12010_146,Metab_model_size,3065187
NT12010_146,Genome_diff,1954733
NT12011_132,Metab_model_size,2987079
NT12011_132,Genome_diff,1778379
NT12012_88,Metab_model_size,3097979
NT12012_88,Genome_diff,1545559
NT12013_22,Metab_model_size,3066780
NT12013_22,Genome_diff,1564689
NT12014_22,Metab_model_size,3066780
NT12014_22,Genome_diff,1564689
NT12015_11,Metab_model_size,2992734
NT12015_11,Genome_diff,2123345
NT12016_152,Metab_model_size,3055888
NT12016_152,Genome_diff,1838991
NT12017_35,Metab_model_size,3051037
NT12017_35,Genome_diff,1600757
NT12018_216,Metab_model_size,3084900
NT12018_216,Genome_diff,2112300
NT12019_36,Metab_model_size,3088056
NT12019_36,Genome_diff,2111596
NT12020_217,Metab_model_size,3073558
NT12020_217,Genome_diff,1778977
NT12021_218,Metab_model_size,3053450
NT12021_218,Genome_diff,1625806
NT12022_37,Metab_model_size,3103173
NT12022_37,Genome_diff,1544436
NT12023_38,Metab_model_size,3104111
NT12023_38,Genome_diff,1542941
NT12024_39,Metab_model_size,3099168
NT12024_39,Genome_diff,1552189
NT12025_40,Metab_model_size,3019461
NT12025_40,Genome_diff,2156835
NT12026_41,Metab_model_size,3129885
NT12026_41,Genome_diff,1586202
NT12027_219,Metab_model_size,3126564
NT12027_219,Genome_diff,2132650
NT12028_42,Metab_model_size,3143070
NT12028_42,Genome_diff,1885534
NT12029_43,Metab_model_size,2983574
NT12029_43,Genome_diff,1588023
NT12030_220,Metab_model_size,3146009
NT12030_220,Genome_diff,1799595
NT12031_44,Metab_model_size,3117802
NT12031_44,Genome_diff,1791450
NT12032_221,Metab_model_size,3057182
NT12032_221,Genome_diff,1583517
NT12033_45,Metab_model_size,2974518
NT12033_45,Genome_diff,1533503
NT12034_46,Metab_model_size,3062834
NT12034_46,Genome_diff,1528899
NT12035_47,Metab_model_size,2903325
NT12035_47,Genome_diff,1539217
NT12036_48,Metab_model_size,3002638
NT12036_48,Genome_diff,1614103
NT12037_222,Metab_model_size,2998881
NT12037_222,Genome_diff,1540330
NT12038_49,Metab_model_size,3091882
NT12038_49,Genome_diff,1912532
NT12039_223,Metab_model_size,3102328
NT12039_223,Genome_diff,1918698
NT12040_50,Metab_model_size,3149709
NT12040_50,Genome_diff,2131945
NT12041_224,Metab_model_size,3105590
NT12041_224,Genome_diff,1624608
NT12042_225,Metab_model_size,3150327
NT12042_225,Genome_diff,1519150
NT12043_226,Metab_model_size,3145750
NT12043_226,Genome_diff,1688677
NT12044_51,Metab_model_size,3107762
NT12044_51,Genome_diff,1851198
NT12045_52,Metab_model_size,3135839
NT12045_52,Genome_diff,1776986
NT12046_227,Metab_model_size,3132564
NT12046_227,Genome_diff,1846411
NT12047_228,Metab_model_size,3130988
NT12047_228,Genome_diff,1850213
NT12048_229,Metab_model_size,3048121
NT12048_229,Genome_diff,1963118
NT12049_53,Metab_model_size,3051037
NT12049_53,Genome_diff,1514455
NT12050,Metab_model_size,3120203
NT12050,Genome_diff,1625842
NT12051_54,Metab_model_size,2912101
NT12051_54,Genome_diff,1582810
NT12052_231,Metab_model_size,2835327
NT12052_231,Genome_diff,2254232
NT12053_55,Metab_model_size,3094483
NT12053_55,Genome_diff,2102597
NT12054_232,Metab_model_size,3093633
NT12054_232,Genome_diff,2094243
NT12055_233,Metab_model_size,2995595
NT12055_233,Genome_diff,1929489
NT12056_234,Metab_model_size,3077603
NT12056_234,Genome_diff,2078412
NT12057_235,Metab_model_size,3045442
NT12057_235,Genome_diff,2107445
NT12058_236,Metab_model_size,2997841
NT12058_236,Genome_diff,2175374
NT12059_56,Metab_model_size,2994800
NT12059_56,Genome_diff,2185630
NT12060_237,Metab_model_size,3006089
NT12060_237,Genome_diff,2014679
NT12061_238,Metab_model_size,2934199
NT12061_238,Genome_diff,2140795
NT12062_239,Metab_model_size,3160083
NT12062_239,Genome_diff,2141550
NT12063_57,Metab_model_size,2909792
NT12063_57,Genome_diff,1576035
NT12064_748,Metab_model_size,3090763
NT12064_748,Genome_diff,2578417
NT12065_240,Metab_model_size,2932527
NT12065_240,Genome_diff,1895398
NT12066_241,Metab_model_size,3064968
NT12066_241,Genome_diff,2305253
NT12067_242,Metab_model_size,3119214
NT12067_242,Genome_diff,1584340
NT12068_243,Metab_model_size,3076850
NT12068_243,Genome_diff,1988987
NT12069_244,Metab_model_size,3077521
NT12069_244,Genome_diff,2033302
NT12070_245,Metab_model_size,3042277
NT12070_245,Genome_diff,1844517
NT12071_246,Metab_model_size,2637148
NT12071_246,Genome_diff,2291017
NT12072_58,Metab_model_size,3078727
NT12072_58,Genome_diff,2253287
NT12073_247,Metab_model_size,3066808
NT12073_247,Genome_diff,2148377
NT12074_248,Metab_model_size,3114740
NT12074_248,Genome_diff,1679173
NT12075_249,Metab_model_size,3019877
NT12075_249,Genome_diff,1957397
NT12076_250,Metab_model_size,3093097
NT12076_250,Genome_diff,1927712
NT12077_251,Metab_model_size,3062080
NT12077_251,Genome_diff,2007539
NT12078,Metab_model_size,3053103
NT12078,Genome_diff,1849757
NT12079_253,Metab_model_size,3043624
NT12079_253,Genome_diff,1898744
NT12080_254,Metab_model_size,3121146
NT12080_254,Genome_diff,1585594
NT12081_59,Metab_model_size,3094522
NT12081_59,Genome_diff,1842137
NT12082_255,Metab_model_size,3090426
NT12082_255,Genome_diff,1970009
NT12083_256,Metab_model_size,3121132
NT12083_256,Genome_diff,1582662
NT12084_257,Metab_model_size,3115860
NT12084_257,Genome_diff,1683405
NT12085_258,Metab_model_size,3108550
NT12085_258,Genome_diff,1517774
NT12086_259,Metab_model_size,3189268
NT12086_259,Genome_diff,1911292
NT12087_260,Metab_model_size,3051724
NT12087_260,Genome_diff,1800366
NT12088_261,Metab_model_size,3091833
NT12088_261,Genome_diff,1945114
NT12089_32,Metab_model_size,3036981
NT12089_32,Genome_diff,1943604
NT12090_204,Metab_model_size,3139158
NT12090_204,Genome_diff,1869706
NT12091_12,Metab_model_size,3107769
NT12091_12,Genome_diff,1638449
NT12092_10,Metab_model_size,3008498
NT12092_10,Genome_diff,2104778
NT12093_170,Metab_model_size,3077280
NT12093_170,Genome_diff,1514190
NT12094_30,Metab_model_size,3083730
NT12094_30,Genome_diff,1537700
NT12095_187,Metab_model_size,3089104
NT12095_187,Genome_diff,1597033
NT12096_3,Metab_model_size,3082191
NT12096_3,Genome_diff,2050770
NT12097_202,Metab_model_size,3115538
NT12097_202,Genome_diff,2064433
NT12098_101,Metab_model_size,3152608
NT12098_101,Genome_diff,1547952
NT12099_89,Metab_model_size,3111233
NT12099_89,Genome_diff,1745755
NT12100_90,Metab_model_size,3028072
NT12100_90,Genome_diff,1840701
NT12101_91,Metab_model_size,2861211
NT12101_91,Genome_diff,1615111
NT12102_92,Metab_model_size,3036024
NT12102_92,Genome_diff,2129195
NT12103_262,Metab_model_size,3072737
NT12103_262,Genome_diff,1830700
NT12104_93,Metab_model_size,2968024
NT12104_93,Genome_diff,1982828
NT12105_263,Metab_model_size,3161440
NT12105_263,Genome_diff,1635593
NT12106_94,Metab_model_size,3120029
NT12106_94,Genome_diff,1733971
NT12107_264,Metab_model_size,3033225
NT12107_264,Genome_diff,1571101
NT12108_95,Metab_model_size,3108928
NT12108_95,Genome_diff,2033288
NT12109_96,Metab_model_size,3118835
NT12109_96,Genome_diff,1584877
NT12110_97,Metab_model_size,3015796
NT12110_97,Genome_diff,1666830
NT12111_265,Metab_model_size,3043444
NT12111_265,Genome_diff,1665500
NT12112_266,Metab_model_size,3086266
NT12112_266,Genome_diff,1855848
NT12113_98,Metab_model_size,3008457
NT12113_98,Genome_diff,1702228
NT12114_99,Metab_model_size,3121585
NT12114_99,Genome_diff,2335627
NT12115_267,Metab_model_size,3153727
NT12115_267,Genome_diff,1853059
NT12116_100,Metab_model_size,3116270
NT12116_100,Genome_diff,1543398
NT12117_268,Metab_model_size,3123367
NT12117_268,Genome_diff,1589410
NT12118_269,Metab_model_size,3112351
NT12118_269,Genome_diff,1847762
NT12119_102,Metab_model_size,3049442
NT12119_102,Genome_diff,1736991
NT12120_270,Metab_model_size,2940835
NT12120_270,Genome_diff,1819424
NT12121_103,Metab_model_size,3047077
NT12121_103,Genome_diff,1897708
NT12122_271,Metab_model_size,3068661
NT12122_271,Genome_diff,1882906
NT12123_272,Metab_model_size,3051946
NT12123_272,Genome_diff,1590851
NT12124_273,Metab_model_size,3057209
NT12124_273,Genome_diff,2014151
NT12125_274,Metab_model_size,3050728
NT12125_274,Genome_diff,1671385
NT12126_104,Metab_model_size,3034373
NT12126_104,Genome_diff,1997175
NT12127_105,Metab_model_size,3000667
NT12127_105,Genome_diff,2074316
NT12128_275,Metab_model_size,2895956
NT12128_275,Genome_diff,2241839
NT12129,Metab_model_size,3009124
NT12129,Genome_diff,2098721
NT12130_106,Metab_model_size,3004324
NT12130_106,Genome_diff,1947481
NT12131_107,Metab_model_size,3101493
NT12131_107,Genome_diff,1796655
NT12132_277,Metab_model_size,3041555
NT12132_277,Genome_diff,2124215
NT12133_278,Metab_model_size,2961520
NT12133_278,Genome_diff,2122423
NT12134_279,Metab_model_size,3121818
NT12134_279,Genome_diff,1861707
NT12135_280,Metab_model_size,2670555
NT12135_280,Genome_diff,2563416
NT12136_108,Metab_model_size,2965628
NT12136_108,Genome_diff,2166440
NT12137_109,Metab_model_size,3189161
NT12137_109,Genome_diff,2386748
NT12138_281,Metab_model_size,3127114
NT12138_281,Genome_diff,1462992
NT12139_282,Metab_model_size,3165393
NT12139_282,Genome_diff,1565648
NT12140_283,Metab_model_size,3193757
NT12140_283,Genome_diff,2204195
NT12141_284,Metab_model_size,3089901
NT12141_284,Genome_diff,1664459
NT12142,Metab_model_size,3007736
NT12142,Genome_diff,2008891
NT12143_286,Metab_model_size,3042249
NT12143_286,Genome_diff,2168505
NT12144_110,Metab_model_size,3077065
NT12144_110,Genome_diff,1958865
NT12145_111,Metab_model_size,2953129
NT12145_111,Genome_diff,2152894
NT12146_287,Metab_model_size,3013203
NT12146_287,Genome_diff,1894438
NT12147_288,Metab_model_size,3038610
NT12147_288,Genome_diff,2071448
NT12148_289,Metab_model_size,3056468
NT12148_289,Genome_diff,1839215
NT12149,Metab_model_size,3081826
NT12149,Genome_diff,1831016
NT12150_291,Metab_model_size,3032665
NT12150_291,Genome_diff,1860118
NT12151_112,Metab_model_size,3078026
NT12151_112,Genome_diff,2008576
NT12152_292,Metab_model_size,3035166
NT12152_292,Genome_diff,1848916
NT12153_293,Metab_model_size,3038420
NT12153_293,Genome_diff,2059635
NT12154_113,Metab_model_size,3036350
NT12154_113,Genome_diff,1937377
NT12155_294,Metab_model_size,2940445
NT12155_294,Genome_diff,2167409
NT12156_295,Metab_model_size,3022555
NT12156_295,Genome_diff,1912024
NT12157_114,Metab_model_size,2974920
NT12157_114,Genome_diff,2070302
NT12158_296,Metab_model_size,3025645
NT12158_296,Genome_diff,1917487
NT12159_750,Metab_model_size,3057576
NT12159_750,Genome_diff,1935497
NT12160_115,Metab_model_size,3128519
NT12160_115,Genome_diff,1997836
NT12161_297,Metab_model_size,2601588
NT12161_297,Genome_diff,2667350
NT12162_298,Metab_model_size,2938449
NT12162_298,Genome_diff,1930482
NT12163_299,Metab_model_size,3005609
NT12163_299,Genome_diff,1891567
NT12164_300,Metab_model_size,2501701
NT12164_300,Genome_diff,2758625
NT12165_301,Metab_model_size,3035486
NT12165_301,Genome_diff,1974191
NT12166_302,Metab_model_size,2938928
NT12166_302,Genome_diff,2110073
NT12167_303,Metab_model_size,3068710
NT12167_303,Genome_diff,2102309
NT12168_304,Metab_model_size,3097515
NT12168_304,Genome_diff,2006551
NT12169_305,Metab_model_size,1591397
NT12169_305,Genome_diff,3489333
NT12170_306,Metab_model_size,3071315
NT12170_306,Genome_diff,2059947
NT12171_307,Metab_model_size,3101030
NT12171_307,Genome_diff,1981955
NT12172_308,Metab_model_size,3061185
NT12172_308,Genome_diff,1870988
NT12173_309,Metab_model_size,3055824
NT12173_309,Genome_diff,1860905
NT12174_310,Metab_model_size,3069367
NT12174_310,Genome_diff,1978013
NT12175_311,Metab_model_size,2993704
NT12175_311,Genome_diff,2166815
NT12176_312,Metab_model_size,3062551
NT12176_312,Genome_diff,2152131
NT12177_313,Metab_model_size,3052331
NT12177_313,Genome_diff,2242674
NT12178_314,Metab_model_size,3075420
NT12178_314,Genome_diff,2122591
NT12179_315,Metab_model_size,3043120
NT12179_315,Genome_diff,1833195
NT12191_751,Metab_model_size,3006797
NT12191_751,Genome_diff,2319960
NT12192_27,Metab_model_size,3086823
NT12192_27,Genome_diff,2144605
NT12193_86,Metab_model_size,2952054
NT12193_86,Genome_diff,2170017
NT12194_61,Metab_model_size,3122537
NT12194_61,Genome_diff,2203351
NT12195_148,Metab_model_size,2983913
NT12195_148,Genome_diff,2085765
NT12196_324,Metab_model_size,2992525
NT12196_324,Genome_diff,2308911
NT12197_151,Metab_model_size,2989578
NT12197_151,Genome_diff,2173314
NT12198,Metab_model_size,3095495
NT12198,Genome_diff,2017483
NT12199_325,Metab_model_size,3097822
NT12199_325,Genome_diff,2046134
NT12200,Metab_model_size,3097609
NT12200,Genome_diff,2053275
NT12201,Metab_model_size,3046342
NT12201,Genome_diff,2261637
NT12202_326,Metab_model_size,3097609
NT12202_326,Genome_diff,2050265
NT12203,Metab_model_size,2916948
NT12203,Genome_diff,2220232
NT12204_755,Metab_model_size,2917020
NT12204_755,Genome_diff,2257743
NT12205_756,Metab_model_size,2914081
NT12205_756,Genome_diff,2234695
NT12206,Metab_model_size,3140627
NT12206,Genome_diff,2421838
NT12207,Metab_model_size,3100281
NT12207,Genome_diff,1812849
NT12208,Metab_model_size,3112667
NT12208,Genome_diff,2166533
NT12209,Metab_model_size,3142180
NT12209,Genome_diff,2789458
NT12210_329,Metab_model_size,3100575
NT12210_329,Genome_diff,1946456
NT12211_330,Metab_model_size,3098269
NT12211_330,Genome_diff,1942318
NT12212_331,Metab_model_size,3098273
NT12212_331,Genome_diff,1946079
NT12213_332,Metab_model_size,2970407
NT12213_332,Genome_diff,1965967
NT12214,Metab_model_size,2968630
NT12214,Genome_diff,1989456
NT12215_333,Metab_model_size,3089810
NT12215_333,Genome_diff,1995754
NT12216,Metab_model_size,3064134
NT12216,Genome_diff,2032644
NT12217_334,Metab_model_size,3107960
NT12217_334,Genome_diff,1989429
NT12218_335,Metab_model_size,3084176
NT12218_335,Genome_diff,2015550
NT12219_757,Metab_model_size,3091921
NT12219_757,Genome_diff,2150793
NT12220_758,Metab_model_size,3091921
NT12220_758,Genome_diff,2191381
NT12221_759,Metab_model_size,3091921
NT12221_759,Genome_diff,2150660
NT12222,Metab_model_size,3087354
NT12222,Genome_diff,2118229
NT12223_336,Metab_model_size,3028626
NT12223_336,Genome_diff,2218888
NT12224_760,Metab_model_size,3045008
NT12224_760,Genome_diff,3202485
NT12225,Metab_model_size,3099393
NT12225,Genome_diff,2079343
NT12226_337,Metab_model_size,1437796
NT12226_337,Genome_diff,3736026
NT12227,Metab_model_size,3090085
NT12227,Genome_diff,2085441
NT12228,Metab_model_size,2904077
NT12228,Genome_diff,2191779
