protein,length,pLDDT,pTM,plddt_class,id
group_9095,67,79.9,0.704,Confident,NA
group_5506,67,81.9,0.715,Confident,NA
ytfK,68,46.8,0.313,Very low,NA
group_5431,68,65.7,0.557,Low,NA
group_5434,68,71.2,0.526,Confident,NA
group_8711,68,45,0.324,Very low,NA
group_8750,68,68,0.548,Low,NA
group_5437,68,73.6,0.575,Confident,NA
group_5439,68,82.7,0.765,Confident,NA
group_5440,68,76.2,0.612,Confident,NA
group_5441,68,76.9,0.713,Confident,NA
group_5442,68,70.4,0.6,Confident,NA
cspC,69,84,0.784,Confident,NA
group_8630,69,78.5,0.732,Confident,NA
group_8746,69,43.9,0.286,Very low,NA
group_8878,69,47.2,0.366,Very low,NA
group_5354,69,72.3,0.569,Confident,NA
group_5355,69,38.4,0.131,Very low,NA
group_9180,69,83.7,0.753,Confident,NA
cspA,70,84.6,0.804,Confident,NA
rpmE,70,61.7,0.42,Low,NA
rcsA_2,70,84.1,0.817,Confident,NA
group_5257,70,87.2,0.793,Confident,NA
group_5259,70,68.2,0.585,Low,NA
group_8510,70,70.3,0.64,Confident,NA
sfsB_1,70,82.6,0.797,Confident,NA
group_5261,70,39.5,0.252,Very low,NA
group_5263,70,67.1,0.637,Low,NA
group_9307,70,71.4,0.634,Confident,NA
rpsU,71,66,0.335,Low,NA
insA6,71,57.1,0.428,Low,NA
group_4974,71,74.6,0.642,Confident,NA
group_8731,71,77.4,0.741,Confident,NA
group_4985,71,33.4,0.1,Very low,NA
group_8899,71,62.6,0.508,Low,NA
group_4986,71,44.3,0.097,Very low,NA
group_5000,71,67.6,0.547,Low,NA
group_4998,71,85.2,0.816,Confident,NA
group_5001,71,75.9,0.711,Confident,NA
group_9055,71,87,0.823,Confident,NA
group_5006,71,76.8,0.714,Confident,NA
group_9225,71,75.6,0.463,Confident,NA
group_9237,71,37.9,0.187,Very low,NA
infA,72,80.5,0.766,Confident,NA
group_4698,72,81.3,0.769,Confident,NA
slyX,72,79,0.571,Confident,NA
group_4696,72,71.9,0.571,Confident,NA
group_8292,72,79.5,0.732,Confident,NA
group_4708,72,78.1,0.725,Confident,NA
group_8981,72,72.6,0.575,Confident,NA
group_4725,72,77.8,0.721,Confident,NA
group_9310,72,46.1,0.28,Very low,NA
group_4403,73,68.7,0.613,Low,NA
group_4402,73,43.9,0.237,Very low,NA
group_8780,73,81.8,0.77,Confident,NA
group_4412,73,63.7,0.476,Low,NA
group_4415,73,75.5,0.596,Confident,NA
group_9012,73,29.1,0.176,Very low,NA
group_4423,73,80.1,0.767,Confident,NA
group_9104,73,76.8,0.732,Confident,NA
group_4426,73,78.7,0.696,Confident,NA
cspD,74,82.6,0.782,Confident,NA
pspB,74,75.1,0.407,Confident,NA
group_8396,74,38.5,0.202,Very low,NA
group_8719,74,63.7,0.464,Low,NA
group_8994,74,48.1,0.207,Very low,NA
group_4179,74,72.6,0.59,Confident,NA
group_9039,74,49.5,0.351,Very low,NA
group_4180,74,55.8,0.299,Low,NA
group_3950,75,38.5,0.154,Very low,NA
rpsR,75,74.1,0.713,Confident,NA
feoA,75,83.5,0.781,Confident,NA
ahr_2,75,81.7,0.518,Confident,NA
group_3959,75,81.8,0.788,Confident,NA
group_3960,75,85.4,0.803,Confident,NA
group_8729,75,47.8,0.341,Very low,NA
group_8730,75,77.2,0.762,Confident,NA
group_9092,75,79.9,0.788,Confident,NA
group_9178,75,71.6,0.686,Confident,NA
group_3979,75,67.3,0.527,Low,NA
group_3736,76,79.8,0.742,Confident,NA
group_3740,76,84,0.794,Confident,NA
group_8845,76,49.1,0.382,Very low,NA
group_3747,76,57.2,0.423,Low,NA
group_3446,77,85.4,0.828,Confident,NA
group_3448,77,37.7,0.16,Very low,NA
group_3450,77,80.8,0.791,Confident,NA
dinI_1,77,73.1,0.695,Confident,NA
group_3458,77,31.5,0.148,Very low,NA
group_3235,78,86.7,0.835,Confident,NA
lpp,78,80,0.539,Confident,NA
rpmB,78,77.8,0.673,Confident,NA
group_8602,78,32.3,0.167,Very low,NA
group_3248,78,38.8,0.199,Very low,NA
group_8996,78,49.3,0.264,Very low,NA
atpE,79,71.5,0.497,Confident,NA
group_3067,79,39.5,0.193,Very low,NA
group_3070,79,78.4,0.499,Confident,NA
group_3071,79,55.4,0.525,Low,NA
group_8915,79,85.3,0.686,Confident,NA
group_3076,79,74.1,0.627,Confident,NA
group_3077,79,79.6,0.658,Confident,NA
group_9031,79,78.2,0.625,Confident,NA
group_9108,79,53.1,0.355,Low,NA
group_9229,79,38.7,0.228,Very low,NA
group_2872,80,50.4,0.111,Low,NA
group_8377,80,40.7,0.28,Very low,NA
group_8403,80,50.7,0.366,Low,NA
group_2877,80,75.5,0.704,Confident,NA
group_2879,80,84.4,0.556,Confident,NA
group_2878,80,66.9,0.441,Low,NA
group_8679,80,74.7,0.675,Confident,NA
cdiA_2,80,75.9,0.653,Confident,NA
group_2887,80,85.9,0.65,Confident,NA
group_8975,80,37,0.207,Very low,NA
group_9224,80,45.5,0.255,Very low,NA
rpnA_2,81,63.2,0.588,Low,NA
group_2699,81,41.2,0.218,Very low,NA
group_2701,81,40.9,0.27,Very low,NA
mazE_1,81,72.5,0.44,Confident,NA
hybG,82,81.7,0.619,Confident,NA
rpsP,82,77.5,0.741,Confident,NA
group_8407,82,38.4,0.291,Very low,NA
group_2517,82,51.3,0.386,Low,NA
group_2521,82,41.8,0.328,Very low,NA
group_2525,82,41.3,0.089,Very low,NA
group_2526,82,78.1,0.546,Confident,NA
group_2602,82,29.3,0.129,Very low,NA
group_2528,82,60.4,0.419,Low,NA
group_9196,82,60.1,0.472,Low,NA
sfsB_3,82,75,0.733,Confident,NA
yciN,83,71.1,0.491,Confident,NA
group_8414,83,59.3,0.325,Low,NA
group_2351,83,79,0.756,Confident,NA
parD1,83,81.6,0.593,Confident,NA
group_8654,83,54.5,0.443,Low,NA
group_2358,83,70.4,0.503,Confident,NA
acpP_3,83,81.7,0.8,Confident,NA
group_2360,83,41.3,0.262,Very low,NA
acpP_1,83,80.7,0.775,Confident,NA
rpsQ,84,76.5,0.71,Confident,NA
group_8427,84,74.7,0.747,Confident,NA
group_8629,84,41,0.279,Very low,NA
group_2159,84,77.5,0.553,Confident,NA
group_2162,84,82.3,0.83,Confident,NA
group_2163,84,83.1,0.815,Confident,NA
group_2167,84,73.1,0.583,Confident,NA
bssS,85,68.9,0.575,Low,NA
rpmA,85,67.5,0.557,Low,NA
ptsH,85,88.6,0.871,Confident,NA
group_1946,85,75.3,0.728,Confident,NA
group_1947,85,39.4,0.187,Very low,NA
group_8502,85,55,0.448,Low,NA
topAI_2,85,82.2,0.803,Confident,NA
group_8540,85,83.3,0.841,Confident,NA
group_1952,85,68.2,0.336,Low,NA
group_1953,85,68,0.665,Low,NA
group_1965,85,65.4,0.512,Low,NA
group_1967,85,78.3,0.739,Confident,NA
group_1969,85,85.6,0.835,Confident,NA
group_1776,86,72.1,0.649,Confident,NA
group_8748,86,58.9,0.525,Low,NA
group_8753,86,63.4,0.583,Low,NA
group_9024,86,68.3,0.544,Low,NA
group_1790,86,85.7,0.832,Confident,NA
group_1794,86,50.6,0.312,Low,NA
rpsT,87,77.4,0.647,Confident,NA
ilvM,87,77,0.746,Confident,NA
group_8695,87,59.2,0.485,Low,NA
group_9020,87,82.7,0.802,Confident,NA
group_1607,87,82.1,0.778,Confident,NA
minE,88,61.1,0.382,Low,NA
ykgM,88,58.4,0.467,Low,NA
group_1426,88,70,0.627,Confident,NA
group_1429,88,32,0.132,Very low,NA
group_1431,88,75.9,0.708,Confident,NA
group_8940,88,34.2,0.222,Very low,NA
group_1441,88,79.6,0.805,Confident,NA
group_8983,88,80,0.781,Confident,NA
group_1454,88,78.3,0.774,Confident,NA
group_9276,88,59.8,0.509,Low,NA
rpsO,89,80.8,0.796,Confident,NA
group_1259,89,49.9,0.357,Very low,NA
group_1261,89,75.3,0.622,Confident,NA
group_8773,89,58.4,0.527,Low,NA
group_1263,89,81.3,0.752,Confident,NA
eutN_2,89,83.8,0.815,Confident,NA
group_9049,89,38.6,0.277,Very low,NA
group_9288,89,56.2,0.409,Low,NA
rcnR,90,80.8,0.744,Confident,NA
hypC,90,70.2,0.484,Confident,NA
hupA,90,89.3,0.769,Confident,NA
group_8463,90,58,0.45,Low,NA
group_8712,90,47.8,0.322,Very low,NA
group_8877,90,51.4,0.399,Low,NA
group_1098,90,60.6,0.402,Low,NA
group_1097,90,75.9,0.735,Confident,NA
intZ_4,90,79,0.771,Confident,NA
frmR,91,76.1,0.67,Confident,NA
group_8366,91,72.5,0.596,Confident,NA
group_932,91,86.2,0.851,Confident,NA
group_937,91,71.5,0.724,Confident,NA
eutM_2,92,84.6,0.853,Confident,NA
eutM_4,92,85.2,0.851,Confident,NA
rpsS,92,71.6,0.631,Confident,NA
sgcB,92,89.4,0.889,Confident,NA
group_731,92,86.9,0.863,Confident,NA
group_744,92,57.7,0.535,Low,NA
group_751,92,75.1,0.624,Confident,NA
group_9304,92,71.7,0.508,Confident,NA
yhhI_2,92,77.7,0.78,Confident,NA
group_8612,93,58.7,0.535,Low,NA
group_8734,93,59.3,0.294,Low,NA
group_534,93,80.1,0.809,Confident,NA
gatB_2,93,85,0.844,Confident,NA
group_535,93,36,0.256,Very low,NA
group_537,93,65.9,0.518,Low,NA
group_545,93,68.9,0.618,Low,NA
group_548,93,70.1,0.6,Confident,NA
ihfB,94,84.3,0.715,Confident,NA
eutM_3,94,84,0.844,Confident,NA
group_374,94,75.7,0.755,Confident,NA
group_376,94,83.6,0.835,Confident,NA
sgcB_1,94,90.8,0.894,Very high,NA
group_9053,94,67.4,0.642,Low,NA
group_9189,94,82.9,0.685,Confident,NA
hpf,95,85.1,0.863,Confident,NA
group_8409,95,69,0.385,Low,NA
ulaB_2,95,85,0.849,Confident,NA
group_240,95,65.3,0.52,Low,NA
group_242,95,33.1,0.129,Very low,NA
group_247,95,79.3,0.8,Confident,NA
yiaG,96,70.8,0.566,Confident,NA
group_82,96,42.5,0.375,Very low,NA
group_8587,96,42.4,0.304,Very low,NA
group_88,96,80.6,0.786,Confident,NA
group_8964,96,45.9,0.345,Very low,NA
group_94,96,55.1,0.381,Low,NA
group_95,96,68,0.565,Low,NA
group_9078,96,57.7,0.398,Low,NA
groS,97,77.5,0.726,Confident,NA
group_8710,97,76.3,0.722,Confident,NA
borD,97,73.4,0.654,Confident,NA
group_8220,97,78.1,0.724,Confident,NA
group_8230,97,44.8,0.428,Very low,NA
group_8232,97,61.6,0.58,Low,NA
group_9230,97,65.5,0.526,Low,NA
group_8235,97,86,0.837,Confident,NA
group_9262,97,77.6,0.723,Confident,NA
fis,98,73.6,0.644,Confident,NA
group_8610,98,38.1,0.264,Very low,NA
ybcO,98,81.8,0.825,Confident,NA
group_8791,98,32.1,0.187,Very low,NA
group_9052,98,51.6,0.353,Low,NA
group_8093,98,70.2,0.684,Confident,NA
ihfA,99,84.7,0.751,Confident,NA
group_7908,99,72.4,0.629,Confident,NA
group_8743,99,80.7,0.753,Confident,NA
group_8864,99,32.2,0.209,Very low,NA
group_8086,99,50.3,0.442,Low,NA
group_7915,99,33.5,0.179,Very low,NA
group_7156,99,80.1,0.604,Confident,NA
group_7924,99,79.9,0.766,Confident,NA
group_7926,99,70.2,0.711,Confident,NA
nuoK,100,82.3,0.788,Confident,NA
rplW,100,67.4,0.605,Low,NA
group_7768,100,85.9,0.837,Confident,NA
group_7774,100,47.2,0.438,Very low,NA
group_7807,100,81.9,0.832,Confident,NA
group_7781,100,83.3,0.855,Confident,NA
group_7654,101,64.9,0.401,Low,NA
elaB,101,66.5,0.427,Low,NA
rpsN,101,76.6,0.599,Confident,NA
group_7661,101,34.3,0.197,Very low,NA
group_7659,101,59.3,0.595,Low,NA
group_7660,101,75.9,0.626,Confident,NA
papB,101,73.6,0.721,Confident,NA
hfq,102,67.1,0.57,Low,NA
group_7539,102,85.2,0.77,Confident,NA
srlB_2,102,64.6,0.687,Low,NA
rplU,103,71.2,0.581,Confident,NA
rpsJ,103,77.6,0.712,Confident,NA
group_8384,103,52.4,0.514,Low,NA
higB_2,103,81.9,0.827,Confident,NA
group_9038,103,67.3,0.452,Low,NA
group_9100,103,49,0.399,Very low,NA
group_9222,103,81.6,0.839,Confident,NA
rplX,104,72.8,0.618,Confident,NA
group_7315,104,49.1,0.299,Very low,NA
group_7319,104,74.2,0.737,Confident,NA
group_7320,104,65.4,0.449,Low,NA
group_7323,104,57.8,0.472,Low,NA
group_9182,104,62,0.423,Low,NA
group_9278,104,63.2,0.513,Low,NA
hspQ,105,66.3,0.579,Low,NA
gdx,105,84.9,0.8,Confident,NA
group_7236,105,75.9,0.757,Confident,NA
group_7235,105,39.1,0.33,Very low,NA
group_7241,105,71.2,0.694,Confident,NA
araG_2,105,76.1,0.698,Confident,NA
group_9135,105,43.1,0.397,Very low,NA
group_7152,106,38.1,0.308,Very low,NA
group_7157,106,87.5,0.882,Confident,NA
group_7158,106,76.5,0.678,Confident,NA
iscA,107,76.1,0.694,Confident,NA
soxS,107,84.9,0.805,Confident,NA
group_7063,107,52,0.328,Low,NA
group_8378,107,54.6,0.46,Low,NA
group_7064,107,69.7,0.586,Low,NA
group_7065,107,81.1,0.605,Confident,NA
group_7066,107,90.2,0.887,Very high,NA
group_7067,107,68.8,0.609,Low,NA
group_7068,107,77.5,0.73,Confident,NA
group_7072,107,77.5,0.633,Confident,NA
group_9130,107,85.8,0.536,Confident,NA
rnpA,108,85,0.862,Confident,NA
nirD,108,84.7,0.861,Confident,NA
yggL,108,79.5,0.773,Confident,NA
group_6996,108,56.6,0.398,Low,NA
group_7001,108,87.3,0.889,Confident,NA
group_6906,109,72.8,0.621,Confident,NA
group_6907,109,54.9,0.355,Low,NA
papB_1,109,72.9,0.674,Confident,NA
group_6908,109,70.9,0.46,Confident,NA
trxA,109,89.6,0.898,Confident,NA
group_6910,109,85.5,0.627,Confident,NA
group_6917,109,70.6,0.435,Confident,NA
group_9192,109,59,0.406,Low,NA
yajC,110,73.8,0.564,Confident,NA
secG,110,58.4,0.372,Low,NA
rplV,110,80.4,0.776,Confident,NA
yhhH_1,110,63.7,0.541,Low,NA
group_9061,110,77.4,0.73,Confident,NA
group_9126,110,54.9,0.501,Low,NA
group_6825,110,74.7,0.715,Confident,NA
group_6756,111,38.9,0.269,Very low,NA
group_6734,111,70.4,0.702,Confident,NA
group_6740,111,76,0.708,Confident,NA
group_6744,111,58.4,0.423,Low,NA
group_9125,111,67.1,0.424,Low,NA
group_6745,111,69.2,0.685,Low,NA
cutA,112,86.3,0.841,Confident,NA
intS_2,112,76.1,0.63,Confident,NA
maoP,112,41,0.297,Very low,NA
group_8390,112,86.1,0.856,Confident,NA
group_6647,112,90.3,0.904,Very high,NA
group_6652,112,56.7,0.341,Low,NA
hybF,113,82.4,0.719,Confident,NA
ytfP,113,86.6,0.879,Confident,NA
bamE,113,67.2,0.539,Low,NA
group_6551,113,67.7,0.64,Low,NA
group_6554,113,72.5,0.679,Confident,NA
group_6560,113,43.3,0.24,Very low,NA
group_6561,113,83.1,0.834,Confident,NA
group_9245,113,85.3,0.847,Confident,NA
group_6468,114,64.2,0.692,Low,NA
group_8598,114,54.3,0.423,Low,NA
group_6470,114,66.6,0.658,Low,NA
group_8879,114,74.5,0.762,Confident,NA
group_6472,114,34.9,0.096,Very low,NA
group_6475,114,88.3,0.897,Confident,NA
group_6477,114,63.8,0.612,Low,NA
group_6479,114,70.2,0.691,Confident,NA
sdhD,115,84.1,0.794,Confident,NA
grxD,115,87.4,0.873,Confident,NA
yoaB,115,89,0.876,Confident,NA
rplS,115,59.9,0.56,Low,NA
group_6370,115,77.7,0.775,Confident,NA
emrE_2,115,71.1,0.635,Confident,NA
group_6373,115,79.9,0.827,Confident,NA
group_9259,115,58.6,0.429,Low,NA
chbA,116,79.7,0.78,Confident,NA
hypA,116,76.6,0.662,Confident,NA
group_6310,116,43.4,0.296,Very low,NA
group_8755,116,67.4,0.627,Low,NA
group_8281,116,85.5,0.807,Confident,NA
ychN,117,87.8,0.89,Confident,NA
group_6251,117,89.5,0.9,Confident,NA
rplR,117,69.7,0.655,Low,NA
group_6253,117,73.6,0.75,Confident,NA
group_6255,117,32.6,0.188,Very low,NA
group_6256,117,82,0.847,Confident,NA
rplT,118,75.5,0.588,Confident,NA
rpsM,118,75.4,0.66,Confident,NA
group_6191,118,55.8,0.24,Low,NA
group_9134,118,85.9,0.855,Confident,NA
hinT,119,86.8,0.875,Confident,NA
frdD,119,77.4,0.716,Confident,NA
yfeC,119,67.3,0.419,Low,NA
group_6120,119,78,0.552,Confident,NA
group_8701,119,77.5,0.768,Confident,NA
group_8905,119,40.9,0.304,Very low,NA
cdiA4_1,119,44.4,0.352,Very low,NA
group_6055,120,56.8,0.375,Low,NA
group_8592,120,57,0.318,Low,NA
group_6061,120,81.8,0.803,Confident,NA
ftsL,121,72.3,0.405,Confident,NA
group_5989,121,70.5,0.694,Confident,NA
folB,122,87.2,0.87,Confident,NA
group_5936,122,81.3,0.809,Confident,NA
group_8727,122,77.9,0.808,Confident,NA
group_8986,122,41.5,0.323,Very low,NA
rplN,123,77.6,0.79,Confident,NA
group_8663,123,73.6,0.69,Confident,NA
group_5893,123,79.1,0.434,Confident,NA
quuD,123,72.3,0.737,Confident,NA
group_5895,123,83.2,0.741,Confident,NA
group_5897,123,36.9,0.307,Very low,NA
tomB,124,50.4,0.359,Low,NA
rpsL,124,58.4,0.514,Low,NA
group_5842,124,82.3,0.781,Confident,NA
group_5829,124,75.6,0.754,Confident,NA
group_5830,124,36.3,0.241,Very low,NA
group_5731,125,43.4,0.356,Very low,NA
group_5732,125,89.1,0.891,Confident,NA
ybjM,125,70.9,0.742,Confident,NA
group_5735,125,88,0.856,Confident,NA
group_5734,125,71.9,0.576,Confident,NA
group_5745,125,69.6,0.689,Low,NA
group_5746,125,34.8,0.217,Very low,NA
group_5749,125,78.5,0.478,Confident,NA
ytfH,126,82.9,0.779,Confident,NA
tdcF_2,126,91.8,0.92,Very high,NA
yobA_1,126,80.4,0.733,Confident,NA
hpcD,126,87,0.866,Confident,NA
group_5673,126,69.6,0.641,Low,NA
group_5675,126,68.6,0.677,Low,NA
group_9241,126,80.3,0.844,Confident,NA
atpI,127,76,0.762,Confident,NA
grcA,127,44,0.334,Very low,NA
rplQ,127,75.3,0.732,Confident,NA
secE,127,75.2,0.466,Confident,NA
group_8389,127,78,0.768,Confident,NA
group_5608,127,57,0.375,Low,NA
ridA,128,92.6,0.928,Very high,NA
cdiI,128,85.8,0.871,Confident,NA
group_5542,128,74.6,0.641,Confident,NA
group_9238,128,38.3,0.195,Very low,NA
tdcF,129,91.1,0.924,Very high,NA
group_5485,129,68,0.682,Low,NA
group_5487,129,78.3,0.682,Confident,NA
group_8842,129,42.1,0.297,Very low,NA
group_5488,129,53.3,0.328,Low,NA
group_9021,129,73.2,0.719,Confident,NA
group_9051,129,72.4,0.669,Confident,NA
group_5489,129,66.7,0.663,Low,NA
group_9311,129,45.5,0.391,Very low,NA
rpsI,130,70.4,0.717,Confident,NA
ygiW,130,68.2,0.645,Low,NA
rpsH,130,84.3,0.855,Confident,NA
group_8849,130,35.2,0.258,Very low,NA
ligA_2,130,79.1,0.784,Confident,NA
group_5447,130,47.1,0.297,Very low,NA
rpsF,131,74.5,0.67,Confident,NA
group_8725,131,71.2,0.318,Confident,NA
group_8745,131,70,0.679,Confident,NA
mqsA,131,88.5,0.608,Confident,NA
group_5378,131,67.3,0.607,Low,NA
group_5379,131,61.4,0.534,Low,NA
group_5306,132,68.3,0.368,Low,NA
yohJ,132,79.3,0.615,Confident,NA
yciA,132,84.7,0.843,Confident,NA
vapC_1,132,87.3,0.887,Confident,NA
group_5310,132,76.8,0.449,Confident,NA
group_8932,132,81.6,0.846,Confident,NA
group_5313,132,37.1,0.288,Very low,NA
group_5314,132,83.6,0.814,Confident,NA
mdtJ_2,133,74.5,0.651,Confident,NA
group_8590,133,71.4,0.45,Confident,NA
group_5260,133,70.9,0.307,Confident,NA
group_8954,133,46.7,0.456,Very low,NA
espP,133,78.6,0.678,Confident,NA
group_9287,133,74.4,0.576,Confident,NA
yqjE,134,71.8,0.466,Confident,NA
group_8627,134,87.8,0.884,Confident,NA
group_8650,134,76.2,0.735,Confident,NA
group_5120,134,82.8,0.73,Confident,NA
group_8859,134,82.5,0.807,Confident,NA
